CVE_MUN,GM,IM,k-means++,random
01001,Muy bajo,60.3187950417198,0,3
01002,Muy bajo,56.546071016613,2,2
01003,Muy bajo,57.0582509369582,0,3
01004,Muy bajo,57.1140301001378,0,3
01005,Muy bajo,59.0117616967172,0,3
01006,Muy bajo,58.6247678266779,0,3
01007,Muy bajo,57.6466713495514,0,3
01008,Muy bajo,57.5275305589345,0,3
01009,Muy bajo,56.6043143837497,0,2
01010,Muy bajo,56.5557942161932,0,3
01011,Muy bajo,58.5520978333435,0,3
02001,Muy bajo,58.082237567032,0,3
02002,Muy bajo,59.3849890945595,0,3
02003,Muy bajo,58.3900774399861,0,3
02004,Muy bajo,59.1402868170204,0,3
02005,Muy bajo,58.291417465293,0,3
02006,Medio,53.3990400136774,2,2
03001,Muy bajo,58.2638228268869,0,3
03002,Muy bajo,57.4925673102967,0,3
03003,Muy bajo,59.8532531027085,0,3
03008,Muy bajo,58.7357270060101,0,3
03009,Muy bajo,58.8193122984084,0,3
04001,Bajo,55.3812819245503,0,3
04002,Muy bajo,58.6407010357592,0,3
04003,Muy bajo,58.0950832846142,0,3
04004,Bajo,54.8325989080778,2,2
04005,Bajo,55.6860046589221,0,3
04006,Medio,53.6026514197597,2,2
04007,Medio,52.7603020275498,2,2
04008,Bajo,55.1820078528213,2,2
04009,Bajo,54.8902956416295,2,2
04010,Alto,50.7093716101968,4,0
04011,Alto,50.5139363387235,2,2
04012,Bajo,55.8783319762054,0,3
05001,Muy bajo,57.8201477198815,0,3
05002,Muy bajo,58.4817122918216,0,3
05003,Muy bajo,59.7938289954527,0,3
05004,Muy bajo,58.0449869593202,0,3
05005,Bajo,55.9194917338476,2,2
05006,Muy bajo,59.3106239603317,0,3
05007,Muy bajo,57.220514347307,0,3
05008,Bajo,56.4434939150664,2,2
05009,Muy bajo,57.8246734818765,0,3
05010,Muy bajo,60.0842709636714,0,3
05011,Muy bajo,57.1210015864091,0,3
05012,Bajo,55.6679087962824,2,2
05013,Bajo,56.0716090813527,2,2
05014,Bajo,55.4032123875801,2,2
05015,Muy bajo,56.6770026083266,2,2
05016,Muy bajo,57.3261855621437,0,3
05017,Muy bajo,58.1804004142075,0,3
05018,Muy bajo,60.4768300568519,0,3
05019,Muy bajo,59.4673507022789,0,3
05020,Muy bajo,58.9049613636146,0,3
05021,Muy bajo,57.7527937612693,0,3
05022,Muy bajo,58.9554821241229,0,3
05023,Bajo,55.1278959758259,2,2
05024,Muy bajo,57.9477297945311,0,3
05025,Muy bajo,59.2727558881289,0,3
05026,Bajo,56.4638302346,2,2
05027,Muy bajo,60.1650088427359,0,3
05028,Muy bajo,59.7511520314129,0,3
05029,Muy bajo,57.4433073588306,0,3
05030,Muy bajo,60.7375040578758,0,3
05031,Muy bajo,59.9613705887526,0,3
05032,Muy bajo,59.7579886590898,0,3
05033,Muy bajo,57.059406535828,0,3
05034,Muy bajo,57.9045374458784,0,3
05035,Muy bajo,60.2884207175746,0,3
05036,Bajo,54.8588292288359,2,2
05037,Muy bajo,58.337700821595,0,3
05038,Muy bajo,57.7682332789898,0,3
06001,Bajo,56.4059237449604,0,3
06002,Muy bajo,59.7711755354347,0,3
06003,Muy bajo,57.1625072020632,0,3
06004,Muy bajo,57.1251916292823,0,3
06005,Muy bajo,58.1700784403634,0,3
06006,Bajo,55.0289760226252,2,2
06007,Muy bajo,59.7547410038696,0,3
06008,Muy bajo,57.3805329920052,0,3
06009,Muy bajo,57.1954216340676,0,3
06010,Muy bajo,60.5120922228991,0,3
07001,Medio,53.2907904738896,2,2
07002,Medio,53.3009496928406,2,2
07003,Alto,52.1499492969481,2,2
07004,Alto,49.7840661417914,1,4
07005,Alto,48.7593250790908,1,4
07006,Alto,52.2296012272431,2,4
07007,Muy alto,45.981946197677,4,0
07008,Alto,51.5472580763044,1,4
07009,Medio,54.5793351882981,2,2
07010,Alto,49.7756697893572,4,0
07011,Alto,51.5097790448289,2,2
07012,Medio,53.2988113851827,2,2
07013,Alto,52.0224667435321,1,4
07014,Alto,50.0944470305582,1,4
07015,Medio,54.5750731851716,2,2
07016,Alto,52.1298806862818,2,2
07017,Medio,53.7799251744326,2,2
07018,Alto,52.2651458294411,1,4
07019,Bajo,54.9683255947039,2,2
07020,Alto,50.345273777775,1,4
07021,Medio,53.1786471264422,2,2
07022,Muy alto,37.8069459586062,3,1
07023,Muy alto,46.3278465780139,1,4
07024,Muy alto,46.4378836071254,4,0
07025,Alto,51.5044924730301,1,4
07026,Muy alto,45.4293080626882,1,4
07027,Bajo,55.0370926693881,2,2
07028,Alto,51.6651883576316,1,4
07029,Medio,53.411133839476,2,2
07030,Alto,50.6852195036764,1,4
07031,Muy alto,45.2557776016108,1,4
07032,Alto,52.5820017564812,2,2
07033,Alto,49.9740571910312,1,4
07034,Medio,53.310646120513,2,2
07035,Alto,52.3329033180957,2,2
07036,Alto,52.0599373900267,2,2
07037,Alto,52.5506286011626,2,2
07038,Muy alto,48.5315608456366,1,0
07039,Alto,48.9210111099177,1,4
07040,Medio,54.488482551691,2,2
07041,Alto,52.2893584036738,1,4
07042,Medio,52.9477110108393,2,2
07043,Medio,53.4659644235862,2,2
07044,Alto,51.6527299008629,1,4
07045,Alto,51.0570492659982,1,4
07046,Medio,53.4321289661094,2,2
07047,Alto,52.5191148773229,1,4
07048,Medio,53.716152579478,2,2
07049,Alto,50.5089646729303,1,4
07050,Medio,52.6928205936953,2,2
07051,Medio,53.0837629810148,2,2
07052,Alto,49.1299085992887,1,0
07053,Alto,52.5462404399952,2,2
07054,Alto,52.3810255780799,2,2
07055,Medio,53.7172061335794,2,2
07056,Muy alto,45.5708330998031,1,4
07057,Medio,53.0043935129513,2,2
07058,Alto,51.4857630626166,1,4
07059,Muy alto,47.0642589778532,1,4
07060,Alto,48.7983796549241,1,4
07061,Medio,52.7896289931032,2,2
07062,Alto,51.6489356841444,2,2
07063,Medio,54.564009802543,2,2
07064,Muy alto,40.8340559064578,4,0
07065,Medio,52.6741669326229,2,2
07066,Muy alto,45.4935597483737,1,4
07067,Alto,49.7245203468974,1,4
07068,Medio,53.8688979626885,2,2
07069,Alto,52.2159881034543,2,2
07070,Medio,52.9851964072576,2,2
07071,Alto,52.1712242149923,2,2
07072,Alto,50.3948368506767,1,4
07073,Alto,51.4744684222445,1,4
07074,Bajo,56.2836431212427,0,3
07075,Alto,50.0594556971995,1,4
07076,Alto,48.9361378462015,1,4
07077,Muy alto,48.0926829231702,1,4
07078,Bajo,55.8329040362097,0,3
07079,Medio,53.246705867343,2,2
07080,Alto,50.8504760253906,1,4
07081,Muy alto,48.6987056909843,1,4
07082,Muy alto,35.9017299159572,3,1
07083,Alto,51.8389002231647,1,4
07084,Alto,52.3585588020491,1,4
07085,Alto,52.4575014394617,2,2
07086,Medio,54.1829143338017,2,2
07087,Alto,51.2573346789155,1,4
07088,Alto,51.7437643596455,2,2
07089,Bajo,55.5116640419866,0,3
07090,Alto,51.8493451247474,1,4
07091,Bajo,54.6305559373357,2,2
07092,Alto,50.649014322504,1,4
07093,Alto,49.8303546585047,1,4
07094,Alto,50.0047965654837,1,4
07096,Muy alto,48.3404725600387,1,4
07097,Bajo,55.0724437277739,2,2
07098,Alto,49.5923052604024,1,4
07099,Alto,51.782928377283,2,2
07100,Muy alto,47.4784672250844,1,4
07101,Muy bajo,58.3458969364367,0,3
07102,Alto,52.2950494073419,4,0
07103,Alto,52.5582458193254,2,2
07104,Medio,52.9232601681887,2,2
07105,Medio,53.8027392757174,2,2
07106,Alto,50.853665914174,1,4
07107,Alto,51.1558305458545,1,4
07108,Medio,53.7093421570287,2,2
07109,Alto,49.1812077809565,1,4
07110,Alto,50.3962000959717,1,4
