CVE_MUN,GM,IM,Neighbors 8 Component 1,Neighbors 8 Component 2,Neighbors 10 Component 1,Neighbors 10 Component 2,Neighbors 12 Component 1,Neighbors 12 Component 2,Neighbors 14 Component 1,Neighbors 14 Component 2
01001,Muy bajo,60.3187950417198,-6.185675369827374,-1.0147772689649626,-5.888517818946745,-0.35554029006951926,-5.587167753827852,0.28802731816744376,-5.52359255716823,1.1688960884158641
01002,Muy bajo,56.546071016613,-2.32156571779032,0.7673261758290589,-2.2512861821547854,0.7516826371945302,-2.1479790345550267,0.37877904318921596,-2.020350617078383,0.05252065323017696
01003,Muy bajo,57.0582509369582,-2.543595921324769,-0.15704532681361782,-2.337511569609152,-0.2755342209100467,-2.2137005151745273,-0.2802792957787166,-2.1398772987975527,-0.20845370277581488
01004,Muy bajo,57.1140301001378,-2.584954967963173,-0.10234032187161374,-2.5377899488937037,0.17574938010828545,-2.434466270648836,0.06071063473475013,-2.3811906995027488,-0.016278176207110334
01005,Muy bajo,59.0117616967172,-4.990945047967016,0.3724061360813682,-4.722553927244736,0.47632948396010705,-4.50039033464528,0.9800563278709612,-4.432713868355048,1.3676309125283603
01006,Muy bajo,58.6247678266779,-4.282166609984313,-0.5659653035430419,-4.18153666918133,-0.33989579705872136,-4.038261868192344,0.23885425940388227,-3.957751628607679,0.8303677433654703
01007,Muy bajo,57.6466713495514,-3.276889599004745,-0.12878785327271175,-3.164783573653965,-0.13834988410417906,-2.954712634865001,0.17458843944006133,-2.8373414248984914,0.2704342313207551
01008,Muy bajo,57.5275305589345,-3.271012970409447,-0.19558509334907992,-3.105196804291271,-0.1173256286930468,-2.9465490539278894,0.441391041605567,-2.8630742127867785,0.622872130268429
01009,Muy bajo,56.6043143837497,-2.365244579974293,0.7441894961827104,-2.2759290454635317,0.7498088229457766,-2.2092920539578267,0.4205268794856112,-2.0968807079895333,-0.005790843212904358
01010,Muy bajo,56.5557942161932,-2.4369946656249257,0.7926020137252591,-2.2849870833391566,0.6668061535474474,-2.172923081780505,0.5424958693213376,-2.156637042330444,0.23740213922037579
