CVE_MUN,GM,IM,IMN,Component 1,Component 2
1001,Muy bajo,60.3187950417198,0.944508383147691,0.0012544576058824057,0.0014871433980083286
1002,Muy bajo,56.546071016613,0.885432775510777,0.0010638143989934103,0.0038804534383604455
1003,Muy bajo,57.0582509369582,0.893452800249523,0.001383772511789802,0.003565988770561108
1004,Muy bajo,57.1140301001378,0.894326224315631,0.0004837864606284913,0.0035834663352027787
1005,Muy bajo,59.0117616967172,0.924042059996595,0.001253201691800816,0.0023834280262641713
1006,Muy bajo,58.6247678266779,0.917982274581019,0.00110739814918477,0.0023994937577245653
1007,Muy bajo,57.6466713495514,0.902666644991035,0.0011488310997713252,0.003093206616349448
1008,Muy bajo,57.5275305589345,0.900801066021251,0.0012428677722935344,0.003094278835797542
1009,Muy bajo,56.6043143837497,0.886344785581358,0.001058111178929932,0.0038794562685327202
1010,Muy bajo,56.5557942161932,0.885585027284178,0.0011794706283466073,0.0036920049724312315
1011,Muy bajo,58.5520978333435,0.916844363622086,0.0011145597595985427,0.0025688026039339708
2001,Muy bajo,58.082237567032,0.909487005768167,0.002493786541531385,-0.0015124071580906537
2002,Muy bajo,59.3849890945595,0.929886281616716,0.0016434371633792554,0.00147047142705886
2003,Muy bajo,58.3900774399861,0.914307349750025,0.0012784717203541184,0.0026734447008275966
2004,Muy bajo,59.1402868170204,0.926054584508856,0.00240549111901307,0.0012985527382197626
2005,Muy bajo,58.291417465293,0.912762471853933,0.0010820639224491107,0.0024178553024488624
2006,Medio,53.3990400136774,0.836154649808125,-0.0003618255016395033,0.003426708564160687
3001,Muy bajo,58.2638228268869,0.912330378220656,0.0013730273515171415,0.0027079821989311774
3002,Muy bajo,57.4925673102967,0.900253590206829,0.00027121335668419446,-0.00029295870285663266
3003,Muy bajo,59.8532531027085,0.937218644289365,0.001342369290975941,0.002201364804481339
3008,Muy bajo,58.7357270060101,0.919719740904642,0.001904416616509863,0.0029344881186284997
3009,Muy bajo,58.8193122984084,0.921028570255816,0.0011844928193294566,0.0023173937155874283
4001,Bajo,55.3812819245503,0.867193799395765,-0.00376959899479741,0.001604947292878094
4002,Muy bajo,58.6407010357592,0.91823176646058,0.0008738954199310276,0.0018008820985243596
4003,Muy bajo,58.0950832846142,0.909688151827791,0.001991683350374018,0.0032821327538320156
4004,Bajo,54.8325989080778,0.858602186973956,0.0022462101481734993,0.003757844700691311
4005,Bajo,55.6860046589221,0.871965333325626,-0.0027097998830284326,0.0023466734804253263
4006,Medio,53.6026514197597,0.839342921056186,-0.002139128630446972,0.0023267921983704106
4007,Medio,52.7603020275498,0.826152901893314,-0.0007014654908659629,0.006000798517074214
4008,Bajo,55.1820078528213,0.864073444767297,-0.004079459342329527,0.0014346353533860599
4009,Bajo,54.8902956416295,0.859505637523358,0.002114735837477788,0.0036024650907569766
4010,Alto,50.7093716101968,0.794038185889743,1.126943847126759e-05,0.002282703673584323
4011,Alto,50.5139363387235,0.790977941530723,-0.0053668826539922726,0.012622869895170651
4012,Bajo,55.8783319762054,0.874976911447448,-0.00023878277545460205,0.0036542848454360756
5001,Muy bajo,57.8201477198815,0.905383043518916,-0.0005434120032362878,0.004461886922883239
5002,Muy bajo,58.4817122918216,0.915742223999208,0.0022081050068242817,0.002734811083452927
5003,Muy bajo,59.7938289954527,0.936288145471786,0.0010110899244029745,0.0019153294952046018
5004,Muy bajo,58.0449869593202,0.908903713094021,0.0009951393857452254,0.001471554331839216
5005,Bajo,55.9194917338476,0.875621415969041,-9.028204287882171e-05,0.005059650689583385
5006,Muy bajo,59.3106239603317,0.928721827110563,0.00103072891746845,0.0021500991979205714
5007,Muy bajo,57.220514347307,0.895993619429459,0.0010331551691883393,0.002796967695570597
5008,Bajo,56.4434939150664,0.883826560859725,0.000811460285031349,0.005654038681456373
5009,Muy bajo,57.8246734818765,0.905453910653138,0.001211484152358838,0.002963730551853383
5010,Muy bajo,60.0842709636714,0.940836062478594,0.001231934502346108,0.002124025915112928
5011,Muy bajo,57.1210015864091,0.894435388088245,0.0012375764098798865,0.0033895331586643596
5012,Bajo,55.6679087962824,0.871681977301161,-0.0010994095354585226,0.005063908726063465
5013,Bajo,56.0716090813527,0.878003361925379,-4.104441626160943e-05,0.0058169589783516
5014,Bajo,55.4032123875801,0.867537199925627,-0.00042990936107608995,0.0054097447190224485
5015,Muy bajo,56.6770026083266,0.887482982016175,1.1404450874775914e-05,0.005305489829107212
5016,Muy bajo,57.3261855621437,0.897648283588476,0.0006197508048832336,0.005397357482867263
5017,Muy bajo,58.1804004142075,0.911024099339196,0.001181923768062252,0.002639772383697461
5018,Muy bajo,60.4768300568519,0.946982991543298,0.0012328683332458157,0.002023174929525895
5019,Muy bajo,59.4673507022789,0.931175949768852,0.0011142864959036453,0.0021301089827955935
5020,Muy bajo,58.9049613636146,0.922369715416957,0.0011717025687867965,0.0024039536078372305
5021,Muy bajo,57.7527937612693,0.904328374265269,0.001780745315061765,0.005958717316142227
5022,Muy bajo,58.9554821241229,0.923160800215486,0.0017154964449923006,0.002346914908610664
5023,Bajo,55.1278959758259,0.863226128082429,-0.0003178265463037316,0.005264343669745273
5024,Muy bajo,57.9477297945311,0.9073808012487,0.00112069273855302,0.0021870929143469474
5025,Muy bajo,59.2727558881289,0.92812886580183,0.0014857529882050817,0.002137870692701515
5026,Bajo,56.4638302346,0.884144999321047,-0.0003014061430896307,0.005273090680581771
5027,Muy bajo,60.1650088427359,0.942100305299779,0.0010936592799415154,0.0018371344038020038
5028,Muy bajo,59.7511520314129,0.935619883609541,0.0012276521172718776,0.002227494033129448
5029,Muy bajo,57.4433073588306,0.8994822479232,0.0022178331283061745,0.006289258898880539
5030,Muy bajo,60.7375040578758,0.951064783612676,0.0010559897896952597,0.0015146169278492051
5031,Muy bajo,59.9613705887526,0.938911613650952,0.0009130299073469746,0.001751531457464563
5032,Muy bajo,59.7579886590898,0.935726935684252,0.0011739034272436684,0.00214093350985835
5033,Muy bajo,57.059406535828,0.893470895319548,0.0019912434329997573,0.003041066097029096
5034,Muy bajo,57.9045374458784,0.906704469180692,0.006616606125857411,0.008223657233006127
5035,Muy bajo,60.2884207175746,0.944032763504298,0.0012642913406445712,0.0015162213425922
5036,Bajo,54.8588292288359,0.85901291729162,0.001282781098812717,0.004679534405207933
