CVE_MUN,GM,IM,Cluster labels
07005,Alto,48.7593250790908,0
07006,Alto,52.2296012272431,0
07007,Muy alto,45.981946197677,0
07008,Alto,51.5472580763044,0
07009,Medio,54.5793351882981,1
07010,Alto,49.7756697893572,3
07011,Alto,51.5097790448289,2
07012,Medio,53.2988113851827,0
07013,Alto,52.0224667435321,0
07014,Alto,50.0944470305582,0
07015,Medio,54.5750731851716,4
07016,Alto,52.1298806862818,3
07017,Medio,53.7799251744326,4
07018,Alto,52.2651458294411,0
07019,Bajo,54.9683255947039,1
07020,Alto,50.345273777775,0
07021,Medio,53.1786471264422,0
07022,Muy alto,37.8069459586062,0
07023,Muy alto,46.3278465780139,0
07024,Muy alto,46.4378836071254,0
07025,Alto,51.5044924730301,0
07026,Muy alto,45.4293080626882,0
07027,Bajo,55.0370926693881,4
07028,Alto,51.6651883576316,0
07029,Medio,53.411133839476,0
07030,Alto,50.6852195036764,0
07031,Muy alto,45.2557776016108,0
07032,Alto,52.5820017564812,0
07033,Alto,49.9740571910312,0
07034,Medio,53.310646120513,0
07035,Alto,52.3329033180957,0
07036,Alto,52.0599373900267,0
07037,Alto,52.5506286011626,0
07038,Muy alto,48.5315608456366,0
07039,Alto,48.9210111099177,0
07040,Medio,54.488482551691,4
07041,Alto,52.2893584036738,0
07042,Medio,52.9477110108393,0
07043,Medio,53.4659644235862,0
07044,Alto,51.6527299008629,0
07045,Alto,51.0570492659982,0
07046,Medio,53.4321289661094,0
07047,Alto,52.5191148773229,0
07048,Medio,53.716152579478,0
07049,Alto,50.5089646729303,0
07050,Medio,52.6928205936953,2
07051,Medio,53.0837629810148,0
07052,Alto,49.1299085992887,0
07053,Alto,52.5462404399952,0
07054,Alto,52.3810255780799,0
07055,Medio,53.7172061335794,2
07056,Muy alto,45.5708330998031,0
07057,Medio,53.0043935129513,0
07058,Alto,51.4857630626166,0
07059,Muy alto,47.0642589778532,0
07060,Alto,48.7983796549241,0
07061,Medio,52.7896289931032,0
07062,Alto,51.6489356841444,0
07063,Medio,54.564009802543,4
07064,Muy alto,40.8340559064578,3
07065,Medio,52.6741669326229,0
07066,Muy alto,45.4935597483737,0
07067,Alto,49.7245203468974,0
07068,Medio,53.8688979626885,0
07069,Alto,52.2159881034543,1
07070,Medio,52.9851964072576,0
07071,Alto,52.1712242149923,0
07072,Alto,50.3948368506767,0
07073,Alto,51.4744684222445,0
07074,Bajo,56.2836431212427,1
07075,Alto,50.0594556971995,0
07076,Alto,48.9361378462015,0
07077,Muy alto,48.0926829231702,0
07078,Bajo,55.8329040362097,1
07079,Medio,53.246705867343,0
07080,Alto,50.8504760253906,0
07081,Muy alto,48.6987056909843,0
07082,Muy alto,35.9017299159572,0
07083,Alto,51.8389002231647,0
07084,Alto,52.3585588020491,0
07085,Alto,52.4575014394617,0
07086,Medio,54.1829143338017,4
07087,Alto,51.2573346789155,0
07088,Alto,51.7437643596455,0
07089,Bajo,55.5116640419866,1
07090,Alto,51.8493451247474,0
07091,Bajo,54.6305559373357,4
07092,Alto,50.649014322504,0
07093,Alto,49.8303546585047,0
07094,Alto,50.0047965654837,0
07096,Muy alto,48.3404725600387,0
07097,Bajo,55.0724437277739,4
07098,Alto,49.5923052604024,0
07099,Alto,51.782928377283,2
07100,Muy alto,47.4784672250844,0
07101,Muy bajo,58.3458969364367,1
07102,Alto,52.2950494073419,3
07103,Alto,52.5582458193254,0
07104,Medio,52.9232601681887,0
07105,Medio,53.8027392757174,2
07106,Alto,50.853665914174,0
07107,Alto,51.1558305458545,3
07108,Medio,53.7093421570287,0
07109,Alto,49.1812077809565,0
07110,Alto,50.3962000959717,0
07111,Muy alto,46.9222208672218,0
07112,Muy alto,44.1093576214964,0
07113,Alto,49.4393330730197,0
07114,Alto,51.4193366673905,0
07115,Muy alto,48.6718646044325,0
07116,Alto,49.0872296767312,0
07117,Alto,50.9137510583727,0
07118,Alto,49.319821722491,0
07119,Muy alto,47.997792091263,0
07120,Alto,50.038163850557,0
07121,Alto,49.8625241675954,0
07122,Medio,53.5005063060139,4
07123,Medio,53.2020823971516,0
07124,Alto,51.2981525524098,0
07125,Alto,50.0151909816176,0
08001,Muy bajo,57.8792460709196,1
08002,Muy bajo,59.6189434907829,1
08003,Muy bajo,57.199977652043,2
08004,Muy bajo,59.7382969251766,1
08005,Muy bajo,57.103885926836,1
08006,Bajo,56.4884627618087,2
08007,Muy alto,37.0071329897794,3
08008,Muy alto,21.4066346942113,3
08009,Alto,51.0463984941947,3
08010,Muy bajo,57.6734348889874,1
08011,Muy bajo,59.1702578267324,1
08012,Muy alto,36.2118547830645,3
08013,Muy bajo,57.3475230143538,1
08014,Bajo,56.5218322717029,2
08015,Bajo,55.9134308710109,2
08016,Muy bajo,57.2047721222766,2
08017,Muy bajo,59.7550793825456,1
08018,Bajo,55.5399045676485,2
08019,Muy bajo,61.1241347126691,1
08020,Muy alto,46.9759049848856,3
08021,Muy bajo,59.8239321190413,1
08022,Bajo,55.1876973474337,2
08023,Bajo,56.0690248832298,2
08024,Muy bajo,57.73560443975,2
08025,Muy bajo,57.0518593120914,2
08026,Bajo,56.1824495534136,2
08027,Muy alto,40.5223159301178,3
08028,Bajo,56.2443673197374,2
08029,Muy alto,39.3476294612872,3
08030,Muy alto,45.9632185719232,3
08031,Bajo,55.9626734119232,1
08032,Muy bajo,59.787543846929,1
08033,Bajo,56.1289051917859,2
08034,Muy bajo,56.6376640852616,2
08035,Bajo,55.7900940274089,2
08036,Muy bajo,58.8406142114328,1
08037,Muy bajo,59.0676837282585,1
08038,Muy bajo,57.1009447936851,2
08039,Muy bajo,56.6285335688641,2
08040,Muy bajo,57.308730023454,1
08041,Muy alto,43.8861029969325,3
08042,Bajo,54.9020494158249,2
08043,Bajo,56.3693172154256,2
08044,Bajo,56.5311710069503,2
08045,Muy bajo,58.5300430129362,1
08046,Muy alto,39.5596311496211,3
08047,Medio,52.8473147515901,3
08048,Muy bajo,57.3583167051025,2
08049,Alto,49.1095128896613,3
08050,Muy bajo,59.7135984544129,1
08051,Medio,53.6372905228771,3
08052,Muy bajo,58.592368680844,1
08053,Bajo,56.1029084642484,2
08054,Muy bajo,57.3957015514393,1
08055,Muy bajo,57.7002206334115,1
08056,Bajo,55.0714721618796,2
08057,Medio,53.8065434665338,3
08058,Muy bajo,57.522137155796,2
08059,Muy bajo,57.9758583067828,2
08060,Muy bajo,59.0695487231787,1
08061,Bajo,56.3293489861721,2
08062,Muy bajo,58.2701677860254,1
08063,Medio,53.9090226568948,3
08064,Bajo,55.0102836569811,2
08065,Muy alto,36.7851601354547,3
08066,Muy alto,41.6391520113259,3
08067,Bajo,56.0284819036415,2
09002,Muy bajo,60.637957252589,1
09003,Muy bajo,60.8769530595478,1
09004,Muy bajo,60.4421617230741,1
09005,Muy bajo,60.0921224607171,1
09006,Muy bajo,60.4422454901315,1
09007,Muy bajo,59.5445475030509,1
09008,Muy bajo,59.6833405260121,1
09009,Muy bajo,57.2813027602769,1
09010,Muy bajo,60.4870520786772,1
09011,Muy bajo,59.325104804355,1
09012,Muy bajo,59.5683005202987,1
09013,Muy bajo,58.5571719595363,1
09014,Muy bajo,62.3971454880912,1
