CVE_MUN,GM,IM,linear Component 1,linear Component 2,rbf Component 1,rbf Component 2,cosine Component 1,cosine Component 2,sigmoid Component 1,sigmoid Component 2
01001,Muy bajo,60.3187950417198,-0.03681186349316316,0.021292722958779167,0.029280668786877847,0.0346405197513633,-0.027974058266176598,0.008080272319845832,-0.03910175933955929,0.00903775293036197
01002,Muy bajo,56.546071016613,-0.013308545292139661,-0.0024020725492299713,0.016775543472956202,-0.026367392954339382,-0.021958373059982272,-0.018824271449134213,-0.014146590409350894,-0.009520374866834123
01003,Muy bajo,57.0582509369582,-0.014756799438319148,-0.005732064906660699,0.02087283762324084,-0.021084575841069278,-0.024493074095796385,-0.009649170340359737,-0.015575519081665698,-0.012765400101508959
01004,Muy bajo,57.1140301001378,-0.016264400829273922,-0.002747449729751794,0.02127959945953136,-0.017735508994706148,-0.022761475648628394,-0.008921307774308069,-0.01760881766184047,-0.007925407765033475
01005,Muy bajo,59.0117616967172,-0.02891105280215976,0.014282697754667659,0.03376912319916265,0.020745725293018637,-0.027527525261439683,0.0037691254805867725,-0.031138119896193268,0.0024046957850230952
01006,Muy bajo,58.6247678266779,-0.026231907150264366,0.011994941844890023,0.03641188527873568,0.014584446596973886,-0.028320064491092263,0.006502987808123037,-0.028304378568513814,0.00494397721981037
01007,Muy bajo,57.6466713495514,-0.019810898399548433,0.004008875286522185,0.030634086632694284,-0.005422861218161509,-0.027147533887881114,0.0021908889322803287,-0.021344630527568832,-6.896586502788823e-05
01008,Muy bajo,57.5275305589345,-0.01951142403501418,0.008681300029647163,0.031111009477364428,-0.004228327288453118,-0.027601530176440663,0.004342904370932235,-0.02110969159137213,0.005627800629150212
01009,Muy bajo,56.6043143837497,-0.013574451785768615,-0.003576694267006562,0.017920840321316227,-0.025764682343468716,-0.023067514802580426,-0.017910138507537806,-0.014280721277993716,-0.010677357971687201
01010,Muy bajo,56.5557942161932,-0.01397116547098765,0.0016631984371086798,0.020633405990440903,-0.023377681153615847,-0.025370526792108116,-0.013792666312553265,-0.014696021706655769,-0.004808653343198407
01011,Muy bajo,58.5520978333435,-0.0251290942125337,0.007539342113984473,0.03560498891262733,0.008026253381836287,-0.02834793855170908,0.0017483608091132476,-0.027196779885014635,-0.0020651625168605072
02001,Muy bajo,58.082237567032,-0.02328529635654773,0.012564792646239015,0.030674694510748647,0.010622484499155196,-0.02557704248397716,0.010074004131316821,-0.0253634315915453,0.0091058894155181
02002,Muy bajo,59.3849890945595,-0.030214267907434346,0.013360395879318988,0.03482072941773143,0.022521711719434095,-0.02799781610966541,0.007953401913290107,-0.03277703650483739,0.004513394670509625
