CVE_MUN,GM,IM,k-means++
01001,Muy bajo,60.3187950417198,0
01002,Muy bajo,56.546071016613,2
01003,Muy bajo,57.0582509369582,0
01004,Muy bajo,57.1140301001378,0
01005,Muy bajo,59.0117616967172,0
01006,Muy bajo,58.6247678266779,0
01007,Muy bajo,57.6466713495514,0
01008,Muy bajo,57.5275305589345,0
01009,Muy bajo,56.6043143837497,0
01010,Muy bajo,56.5557942161932,0
01011,Muy bajo,58.5520978333435,0
02001,Muy bajo,58.082237567032,0
02002,Muy bajo,59.3849890945595,0
02003,Muy bajo,58.3900774399861,0
02004,Muy bajo,59.1402868170204,0
02005,Muy bajo,58.291417465293,0
02006,Medio,53.3990400136774,2
03001,Muy bajo,58.2638228268869,0
03002,Muy bajo,57.4925673102967,0
03003,Muy bajo,59.8532531027085,0
03008,Muy bajo,58.7357270060101,0
03009,Muy bajo,58.8193122984084,0
04001,Bajo,55.3812819245503,0
04002,Muy bajo,58.6407010357592,0
04003,Muy bajo,58.0950832846142,0
04004,Bajo,54.8325989080778,2
04005,Bajo,55.6860046589221,0
04006,Medio,53.6026514197597,2
04007,Medio,52.7603020275498,2
04008,Bajo,55.1820078528213,2
04009,Bajo,54.8902956416295,2
04010,Alto,50.7093716101968,4
04011,Alto,50.5139363387235,2
04012,Bajo,55.8783319762054,0
05001,Muy bajo,57.8201477198815,0
05002,Muy bajo,58.4817122918216,0
05003,Muy bajo,59.7938289954527,0
05004,Muy bajo,58.0449869593202,0
05005,Bajo,55.9194917338476,2
05006,Muy bajo,59.3106239603317,0
05007,Muy bajo,57.220514347307,0
05008,Bajo,56.4434939150664,2
05009,Muy bajo,57.8246734818765,0
05010,Muy bajo,60.0842709636714,0
05011,Muy bajo,57.1210015864091,0
05012,Bajo,55.6679087962824,2
05013,Bajo,56.0716090813527,2
05014,Bajo,55.4032123875801,2
05015,Muy bajo,56.6770026083266,2
05016,Muy bajo,57.3261855621437,0
05017,Muy bajo,58.1804004142075,0
05018,Muy bajo,60.4768300568519,0
05019,Muy bajo,59.4673507022789,0
05020,Muy bajo,58.9049613636146,0
05021,Muy bajo,57.7527937612693,0
05022,Muy bajo,58.9554821241229,0
05023,Bajo,55.1278959758259,2
05024,Muy bajo,57.9477297945311,0
05025,Muy bajo,59.2727558881289,0
05026,Bajo,56.4638302346,2
05027,Muy bajo,60.1650088427359,0
05028,Muy bajo,59.7511520314129,0
05029,Muy bajo,57.4433073588306,0
05030,Muy bajo,60.7375040578758,0
05031,Muy bajo,59.9613705887526,0
05032,Muy bajo,59.7579886590898,0
05033,Muy bajo,57.059406535828,0
05034,Muy bajo,57.9045374458784,0
05035,Muy bajo,60.2884207175746,0
05036,Bajo,54.8588292288359,2
05037,Muy bajo,58.337700821595,0
05038,Muy bajo,57.7682332789898,0
06001,Bajo,56.4059237449604,0
06002,Muy bajo,59.7711755354347,0
06003,Muy bajo,57.1625072020632,0
06004,Muy bajo,57.1251916292823,0
06005,Muy bajo,58.1700784403634,0
06006,Bajo,55.0289760226252,2
06007,Muy bajo,59.7547410038696,0
06008,Muy bajo,57.3805329920052,0
06009,Muy bajo,57.1954216340676,0
06010,Muy bajo,60.5120922228991,0
07001,Medio,53.2907904738896,2
07002,Medio,53.3009496928406,2
07003,Alto,52.1499492969481,2
07004,Alto,49.7840661417914,1
07005,Alto,48.7593250790908,1
07006,Alto,52.2296012272431,2
07007,Muy alto,45.981946197677,4
07008,Alto,51.5472580763044,1
07009,Medio,54.5793351882981,2
07010,Alto,49.7756697893572,4
07011,Alto,51.5097790448289,2
07012,Medio,53.2988113851827,2
07013,Alto,52.0224667435321,1
07014,Alto,50.0944470305582,1
07015,Medio,54.5750731851716,2
07016,Alto,52.1298806862818,2
07017,Medio,53.7799251744326,2
07018,Alto,52.2651458294411,1
07019,Bajo,54.9683255947039,2
07020,Alto,50.345273777775,1
07021,Medio,53.1786471264422,2
07022,Muy alto,37.8069459586062,3
07023,Muy alto,46.3278465780139,1
07024,Muy alto,46.4378836071254,4
07025,Alto,51.5044924730301,1
07026,Muy alto,45.4293080626882,1
07027,Bajo,55.0370926693881,2
07028,Alto,51.6651883576316,1
07029,Medio,53.411133839476,2
07030,Alto,50.6852195036764,1
07031,Muy alto,45.2557776016108,1
07032,Alto,52.5820017564812,2
07033,Alto,49.9740571910312,1
07034,Medio,53.310646120513,2
07035,Alto,52.3329033180957,2
07036,Alto,52.0599373900267,2
07037,Alto,52.5506286011626,2
07038,Muy alto,48.5315608456366,1
07039,Alto,48.9210111099177,1
07040,Medio,54.488482551691,2
07041,Alto,52.2893584036738,1
07042,Medio,52.9477110108393,2
07043,Medio,53.4659644235862,2
07044,Alto,51.6527299008629,1
07045,Alto,51.0570492659982,1
07046,Medio,53.4321289661094,2
07047,Alto,52.5191148773229,1
07048,Medio,53.716152579478,2
07049,Alto,50.5089646729303,1
07050,Medio,52.6928205936953,2
07051,Medio,53.0837629810148,2
07052,Alto,49.1299085992887,1
07053,Alto,52.5462404399952,2
07054,Alto,52.3810255780799,2
07055,Medio,53.7172061335794,2
07056,Muy alto,45.5708330998031,1
07057,Medio,53.0043935129513,2
07058,Alto,51.4857630626166,1
07059,Muy alto,47.0642589778532,1
07060,Alto,48.7983796549241,1
07061,Medio,52.7896289931032,2
07062,Alto,51.6489356841444,2
07063,Medio,54.564009802543,2
07064,Muy alto,40.8340559064578,4
07065,Medio,52.6741669326229,2
07066,Muy alto,45.4935597483737,1
07067,Alto,49.7245203468974,1
07068,Medio,53.8688979626885,2
07069,Alto,52.2159881034543,2
07070,Medio,52.9851964072576,2
07071,Alto,52.1712242149923,2
07072,Alto,50.3948368506767,1
07073,Alto,51.4744684222445,1
07074,Bajo,56.2836431212427,0
07075,Alto,50.0594556971995,1
07076,Alto,48.9361378462015,1
07077,Muy alto,48.0926829231702,1
07078,Bajo,55.8329040362097,0
07079,Medio,53.246705867343,2
07080,Alto,50.8504760253906,1
07081,Muy alto,48.6987056909843,1
07082,Muy alto,35.9017299159572,3
07083,Alto,51.8389002231647,1
07084,Alto,52.3585588020491,1
07085,Alto,52.4575014394617,2
07086,Medio,54.1829143338017,2
07087,Alto,51.2573346789155,1
07088,Alto,51.7437643596455,2
07089,Bajo,55.5116640419866,0
07090,Alto,51.8493451247474,1
07091,Bajo,54.6305559373357,2
07092,Alto,50.649014322504,1
07093,Alto,49.8303546585047,1
07094,Alto,50.0047965654837,1
07096,Muy alto,48.3404725600387,1
07097,Bajo,55.0724437277739,2
07098,Alto,49.5923052604024,1
07099,Alto,51.782928377283,2
07100,Muy alto,47.4784672250844,1
07101,Muy bajo,58.3458969364367,0
07102,Alto,52.2950494073419,4
07103,Alto,52.5582458193254,2
07104,Medio,52.9232601681887,2
07105,Medio,53.8027392757174,2
07106,Alto,50.853665914174,1
07107,Alto,51.1558305458545,1
07108,Medio,53.7093421570287,2
07109,Alto,49.1812077809565,1
07110,Alto,50.3962000959717,1
07111,Muy alto,46.9222208672218,1
07112,Muy alto,44.1093576214964,1
07113,Alto,49.4393330730197,1
07114,Alto,51.4193366673905,1
07115,Muy alto,48.6718646044325,1
07116,Alto,49.0872296767312,4
07117,Alto,50.9137510583727,1
07118,Alto,49.319821722491,1
07119,Muy alto,47.997792091263,1
07120,Alto,50.038163850557,1
07121,Alto,49.8625241675954,1
07122,Medio,53.5005063060139,2
07123,Medio,53.2020823971516,2
07124,Alto,51.2981525524098,1
07125,Alto,50.0151909816176,1
08001,Muy bajo,57.8792460709196,0
08002,Muy bajo,59.6189434907829,0
08003,Muy bajo,57.199977652043,0
08004,Muy bajo,59.7382969251766,0
08005,Muy bajo,57.103885926836,0
08006,Bajo,56.4884627618087,2
08007,Muy alto,37.0071329897794,3
08008,Muy alto,21.4066346942113,3
08009,Alto,51.0463984941947,2
08010,Muy bajo,57.6734348889874,0
08011,Muy bajo,59.1702578267324,0
08012,Muy alto,36.2118547830645,3
08013,Muy bajo,57.3475230143538,0
08014,Bajo,56.5218322717029,2
08015,Bajo,55.9134308710109,2
08016,Muy bajo,57.2047721222766,0
08017,Muy bajo,59.7550793825456,0
08018,Bajo,55.5399045676485,2
08019,Muy bajo,61.1241347126691,0
08020,Muy alto,46.9759049848856,3
08021,Muy bajo,59.8239321190413,0
08022,Bajo,55.1876973474337,2
08023,Bajo,56.0690248832298,2
08024,Muy bajo,57.73560443975,0
08025,Muy bajo,57.0518593120914,2
08026,Bajo,56.1824495534136,2
08027,Muy alto,40.5223159301178,3
08028,Bajo,56.2443673197374,2
08029,Muy alto,39.3476294612872,3
08030,Muy alto,45.9632185719232,3
08031,Bajo,55.9626734119232,2
08032,Muy bajo,59.787543846929,0
08033,Bajo,56.1289051917859,2
08034,Muy bajo,56.6376640852616,2
08035,Bajo,55.7900940274089,2
08036,Muy bajo,58.8406142114328,0
08037,Muy bajo,59.0676837282585,0
08038,Muy bajo,57.1009447936851,2
08039,Muy bajo,56.6285335688641,2
08040,Muy bajo,57.308730023454,0
08041,Muy alto,43.8861029969325,3
08042,Bajo,54.9020494158249,2
08043,Bajo,56.3693172154256,2
08044,Bajo,56.5311710069503,2
08045,Muy bajo,58.5300430129362,0
08046,Muy alto,39.5596311496211,3
08047,Medio,52.8473147515901,2
08048,Muy bajo,57.3583167051025,0
08049,Alto,49.1095128896613,2
08050,Muy bajo,59.7135984544129,0
08051,Medio,53.6372905228771,2
08052,Muy bajo,58.592368680844,0
08053,Bajo,56.1029084642484,2
08054,Muy bajo,57.3957015514393,2
08055,Muy bajo,57.7002206334115,0
08056,Bajo,55.0714721618796,2
08057,Medio,53.8065434665338,2
08058,Muy bajo,57.522137155796,0
08059,Muy bajo,57.9758583067828,0
08060,Muy bajo,59.0695487231787,0
08061,Bajo,56.3293489861721,2
08062,Muy bajo,58.2701677860254,0
08063,Medio,53.9090226568948,2
08064,Bajo,55.0102836569811,2
08065,Muy alto,36.7851601354547,3
08066,Muy alto,41.6391520113259,3
08067,Bajo,56.0284819036415,2
09002,Muy bajo,60.637957252589,0
09003,Muy bajo,60.8769530595478,0
09004,Muy bajo,60.4421617230741,0
09005,Muy bajo,60.0921224607171,0
09006,Muy bajo,60.4422454901315,0
09007,Muy bajo,59.5445475030509,0
09008,Muy bajo,59.6833405260121,0
09009,Muy bajo,57.2813027602769,0
09010,Muy bajo,60.4870520786772,0
09011,Muy bajo,59.325104804355,0
09012,Muy bajo,59.5683005202987,0
09013,Muy bajo,58.5571719595363,0
09014,Muy bajo,62.3971454880912,0
09015,Muy bajo,61.3285335133283,0
