CVE_MUN,GM,IM,IMN,SOM labels
1001,Muy bajo,60.3187950417198,0.944508383147691,0
1002,Muy bajo,56.546071016613,0.885432775510777,2
1003,Muy bajo,57.0582509369582,0.893452800249523,1
1004,Muy bajo,57.1140301001378,0.894326224315631,1
1005,Muy bajo,59.0117616967172,0.924042059996595,0
1006,Muy bajo,58.6247678266779,0.917982274581019,0
1007,Muy bajo,57.6466713495514,0.902666644991035,1
1008,Muy bajo,57.5275305589345,0.900801066021251,1
1009,Muy bajo,56.6043143837497,0.886344785581358,2
1010,Muy bajo,56.5557942161932,0.885585027284178,1
1011,Muy bajo,58.5520978333435,0.916844363622086,0
2001,Muy bajo,58.082237567032,0.909487005768167,0
2002,Muy bajo,59.3849890945595,0.929886281616716,0
2003,Muy bajo,58.3900774399861,0.914307349750025,0
2004,Muy bajo,59.1402868170204,0.926054584508856,0
2005,Muy bajo,58.291417465293,0.912762471853933,0
2006,Medio,53.3990400136774,0.836154649808125,1
3001,Muy bajo,58.2638228268869,0.912330378220656,0
3002,Muy bajo,57.4925673102967,0.900253590206829,0
3003,Muy bajo,59.8532531027085,0.937218644289365,0
3008,Muy bajo,58.7357270060101,0.919719740904642,0
3009,Muy bajo,58.8193122984084,0.921028570255816,0
4001,Bajo,55.3812819245503,0.867193799395765,0
4002,Muy bajo,58.6407010357592,0.91823176646058,0
4003,Muy bajo,58.0950832846142,0.909688151827791,0
4004,Bajo,54.8325989080778,0.858602186973956,1
4005,Bajo,55.6860046589221,0.871965333325626,1
4006,Medio,53.6026514197597,0.839342921056186,2
4007,Medio,52.7603020275498,0.826152901893314,2
4008,Bajo,55.1820078528213,0.864073444767297,0
4009,Bajo,54.8902956416295,0.859505637523358,1
4010,Alto,50.7093716101968,0.794038185889743,2
4011,Alto,50.5139363387235,0.790977941530723,2
4012,Bajo,55.8783319762054,0.874976911447448,1
5001,Muy bajo,57.8201477198815,0.905383043518916,2
5002,Muy bajo,58.4817122918216,0.915742223999208,0
5003,Muy bajo,59.7938289954527,0.936288145471786,0
5004,Muy bajo,58.0449869593202,0.908903713094021,1
5005,Bajo,55.9194917338476,0.875621415969041,2
5006,Muy bajo,59.3106239603317,0.928721827110563,0
5007,Muy bajo,57.220514347307,0.895993619429459,0
5008,Bajo,56.4434939150664,0.883826560859725,2
5009,Muy bajo,57.8246734818765,0.905453910653138,1
5010,Muy bajo,60.0842709636714,0.940836062478594,0
5011,Muy bajo,57.1210015864091,0.894435388088245,1
5012,Bajo,55.6679087962824,0.871681977301161,2
5013,Bajo,56.0716090813527,0.878003361925379,2
5014,Bajo,55.4032123875801,0.867537199925627,3
5015,Muy bajo,56.6770026083266,0.887482982016175,2
5016,Muy bajo,57.3261855621437,0.897648283588476,2
5017,Muy bajo,58.1804004142075,0.911024099339196,0
5018,Muy bajo,60.4768300568519,0.946982991543298,0
5019,Muy bajo,59.4673507022789,0.931175949768852,0
5020,Muy bajo,58.9049613636146,0.922369715416957,0
5021,Muy bajo,57.7527937612693,0.904328374265269,2
5022,Muy bajo,58.9554821241229,0.923160800215486,0
5023,Bajo,55.1278959758259,0.863226128082429,2
5024,Muy bajo,57.9477297945311,0.9073808012487,0
5025,Muy bajo,59.2727558881289,0.92812886580183,0
5026,Bajo,56.4638302346,0.884144999321047,2
5027,Muy bajo,60.1650088427359,0.942100305299779,0
5028,Muy bajo,59.7511520314129,0.935619883609541,0
5029,Muy bajo,57.4433073588306,0.8994822479232,2
5030,Muy bajo,60.7375040578758,0.951064783612676,0
5031,Muy bajo,59.9613705887526,0.938911613650952,0
5032,Muy bajo,59.7579886590898,0.935726935684252,0
5033,Muy bajo,57.059406535828,0.893470895319548,1
5034,Muy bajo,57.9045374458784,0.906704469180692,2
5035,Muy bajo,60.2884207175746,0.944032763504298,0
5036,Bajo,54.8588292288359,0.85901291729162,2
5037,Muy bajo,58.337700821595,0.913487204799895,0
5038,Muy bajo,57.7682332789898,0.904570135625203,0
6001,Bajo,56.4059237449604,0.883238264283229,1
6002,Muy bajo,59.7711755354347,0.935933423815301,0
6003,Muy bajo,57.1625072020632,0.895085308264963,1
6004,Muy bajo,57.1251916292823,0.89450099832825,0
6005,Muy bajo,58.1700784403634,0.910862471594152,0
6006,Bajo,55.0289760226252,0.861677179284729,2
6007,Muy bajo,59.7547410038696,0.935676081923348,0
6008,Muy bajo,57.3805329920052,0.898499288703402,0
6009,Muy bajo,57.1954216340676,0.895600702462298,0
6010,Muy bajo,60.5120922228991,0.947535147988342,0
7001,Medio,53.2907904738896,0.834459612668694,1
7002,Medio,53.3009496928406,0.834618691898622,1
7003,Alto,52.1499492969481,0.816595627575556,2
7004,Alto,49.7840661417914,0.779549190025736,2
7005,Alto,48.7593250790908,0.763503171142121,3
7006,Alto,52.2296012272431,0.817842865950352,3
7007,Muy alto,45.981946197677,0.720013283208214,2
7008,Alto,51.5472580763044,0.807158321841021,2
7009,Medio,54.5793351882981,0.854636429595784,1
7010,Alto,49.7756697893572,0.779417714832035,3
7011,Alto,51.5097790448289,0.806571452368638,3
7012,Medio,53.2988113851827,0.834585208976637,1
7013,Alto,52.0224667435321,0.814599428209782,2
7014,Alto,50.0944470305582,0.784409322778825,3
7015,Medio,54.5750731851716,0.854569692558361,1
7016,Alto,52.1298806862818,0.816281381062519,3
7017,Medio,53.7799251744326,0.842118781337958,1
7018,Alto,52.2651458294411,0.818399444952443,3
7019,Bajo,54.9683255947039,0.860727477992228,1
7020,Alto,50.345273777775,0.788336920558257,3
7021,Medio,53.1786471264422,0.832703603920424,2
7022,Muy alto,37.8069459586062,0.592004156820721,3
