CVE_MUN,GM,IM,IMN,Component 1,Component 2
1001,Muy bajo,60.3187950417198,0.944508383147691,0.00015321319153892304,0.0007315378832955878
1002,Muy bajo,56.546071016613,0.885432775510777,0.0009201594433560224,-0.003920786471783621
1003,Muy bajo,57.0582509369582,0.893452800249523,0.00048696817276459745,0.00017921181453904928
1004,Muy bajo,57.1140301001378,0.894326224315631,0.0003861558508331252,-0.00018195947830373422
1005,Muy bajo,59.0117616967172,0.924042059996595,0.00029709785021116034,0.0015642428142130392
1006,Muy bajo,58.6247678266779,0.917982274581019,0.00035854567058730453,0.0004938825507473636
1007,Muy bajo,57.6466713495514,0.902666644991035,0.00037691057314275385,0.00017242575276080468
1008,Muy bajo,57.5275305589345,0.900801066021251,0.00046192586192271985,0.00023569852707107348
1009,Muy bajo,56.6043143837497,0.886344785581358,0.0008914725782544693,-0.003383236376869643
1010,Muy bajo,56.5557942161932,0.885585027284178,0.0008058584275731927,-0.0024978120060902397
1011,Muy bajo,58.5520978333435,0.916844363622086,0.00042352944651059636,0.0006314980917588621
2001,Muy bajo,58.082237567032,0.909487005768167,0.00031181115968957564,-0.0012381235281052128
2002,Muy bajo,59.3849890945595,0.929886281616716,0.0003239205943236493,0.000305229716631277
2003,Muy bajo,58.3900774399861,0.914307349750025,0.0003447161326435607,-0.001362112546392697
2004,Muy bajo,59.1402868170204,0.926054584508856,0.00020617526096832752,0.0015348465298825273
2005,Muy bajo,58.291417465293,0.912762471853933,0.0003440149874399623,-0.002567603874402791
2006,Medio,53.3990400136774,0.836154649808125,0.000954628373029596,-0.0007383562687206713
3001,Muy bajo,58.2638228268869,0.912330378220656,0.0004215016051335386,-0.0010504723952393877
3002,Muy bajo,57.4925673102967,0.900253590206829,0.0014027168047096616,-0.009171473110076557
3003,Muy bajo,59.8532531027085,0.937218644289365,-2.3333779128311594e-06,0.003145480959322817
3008,Muy bajo,58.7357270060101,0.919719740904642,-0.0005012732992175153,0.0093808446446508
3009,Muy bajo,58.8193122984084,0.921028570255816,6.800543848983156e-05,0.001785131490716639
4001,Bajo,55.3812819245503,0.867193799395765,-0.0008923007989899779,0.0044111214569889905
4002,Muy bajo,58.6407010357592,0.91823176646058,0.00015960506460411042,0.0022020231016642248
4003,Muy bajo,58.0950832846142,0.909688151827791,-0.00034426731719631087,0.011260731746976116
4004,Bajo,54.8325989080778,0.858602186973956,0.0005505421136071799,-0.002046480922073804
4005,Bajo,55.6860046589221,0.871965333325626,-0.00019998179020153288,8.722699332676819e-05
4006,Medio,53.6026514197597,0.839342921056186,-0.0002890048524277084,0.0007583473363508088
4007,Medio,52.7603020275498,0.826152901893314,0.0012465690240342523,-0.0012722028570607414
4008,Bajo,55.1820078528213,0.864073444767297,-0.0019522275608813435,0.013068357389021491
4009,Bajo,54.8902956416295,0.859505637523358,0.0005514685125443122,-0.0022944365347104924
4010,Alto,50.7093716101968,0.794038185889743,-8.546895320151719e-05,-0.0010841616772682906
4011,Alto,50.5139363387235,0.790977941530723,0.0015150413349448763,-0.01780223964822455
4012,Bajo,55.8783319762054,0.874976911447448,0.00041885115083886536,-0.0021083414228038355
5001,Muy bajo,57.8201477198815,0.905383043518916,0.0009341332348579232,-0.0058743991447198374
5002,Muy bajo,58.4817122918216,0.915742223999208,0.00019052773282465574,0.0017603421751566633
