CVE_MUN,GM,IM,IMN,linear Component 1,linear Component 2,rbf Component 1,rbf Component 2,cosine Component 1,cosine Component 2,sigmoid Component 1,sigmoid Component 2
01001,Muy bajo,60.3187950417198,0.944508383147691,-0.04737750074869222,0.05766468362169662,-0.0031636386288218937,0.03155744289288286,-0.018211167106670326,0.013827490426035285,-0.043792413123988135,0.01967299585778673
01002,Muy bajo,56.546071016613,0.885432775510777,-0.012725955120378949,-0.006067501725217212,0.020798813686198077,-0.021883553733731256,-0.02297842502453497,-0.018424454165158498,-0.013874443366702478,-0.009261476764582645
01003,Muy bajo,57.0582509369582,0.893452800249523,-0.014226280195421567,-0.007677375405179296,0.024330893670837475,-0.016485234817748672,-0.025583774030695547,-0.009377644718922355,-0.015379230563183617,-0.012238619757421852
01004,Muy bajo,57.1140301001378,0.894326224315631,-0.01514601076983389,-0.00791450074501372,0.02411484467800194,-0.014104127781588706,-0.023192628052443955,-0.009822151692118995,-0.016958763434853103,-0.00954074944482532
01005,Muy bajo,59.0117616967172,0.924042059996595,-0.029013121768309766,0.011301869727401983,0.03266955520694705,0.024969269733950562,-0.02857499620446247,0.005368588746103723,-0.031081656808506282,0.00039204474560765724
01006,Muy bajo,58.6247678266779,0.917982274581019,-0.025342486035810925,0.00583100378115446,0.036064997092512374,0.01699261785031815,-0.02923429284440934,0.00639096302990262,-0.027725363081440767,0.001792476309166422
01007,Muy bajo,57.6466713495514,0.902666644991035,-0.019186023032475408,9.770253705267793e-05,0.03239015933001891,-0.0009376480877679919,-0.02817192003336909,0.002262970860088872,-0.02096315003391694,-0.0014221264675594054
01008,Muy bajo,57.5275305589345,0.900801066021251,-0.018304190034936604,0.0014589092756883406,0.03214896979483342,-0.0010574490266916194,-0.027914944303444773,0.0030532844337174975,-0.020300006790878664,0.002934870719986965
01009,Muy bajo,56.6043143837497,0.886344785581358,-0.01261064560009839,-0.008181720136516801,0.0215179667429164,-0.021988742858498965,-0.023516924379668513,-0.018513114283934075,-0.013752087660266416,-0.011254915486784934
01010,Muy bajo,56.5557942161932,0.885585027284178,-0.013013897437525268,-0.003973844884547824,0.023914618499553567,-0.01948357435786123,-0.0257711685010408,-0.01452945018607926,-0.014119260749935735,-0.005629680166710837
01011,Muy bajo,58.5520978333435,0.916844363622086,-0.024410198710017945,0.002553417941742105,0.03605238901052571,0.011533895692946099,-0.02939322288501871,0.002019256025063012,-0.02674582408847066,-0.00440174837884486
02001,Muy bajo,58.082237567032,0.909487005768167,-0.027654617636372454,0.026628422471268252,0.015272549028996562,0.028589572347920984,-0.02106674998674911,0.014517526143181326,-0.02724503147013279,0.013940598571695637
02002,Muy bajo,59.3849890945595,0.929886281616716,-0.0422416593180788,0.05677059586598725,-0.003822264154369308,0.029616608756544073,-0.01481077820660859,0.013844359862444786,-0.0380410386597372,0.018343381153664743
02003,Muy bajo,58.3900774399861,0.914307349750025,-0.024601885002686497,0.008390148158594875,0.03468979694330678,0.015887180597353945,-0.028741967855893096,0.00828057780061861,-0.02672221239957182,0.003061866799134034
02004,Muy bajo,59.1402868170204,0.926054584508856,-0.05124705587651952,0.09970117843518289,-0.004580754457563571,0.025790931065468734,-0.008706167593176562,0.01479997946644344,-0.03997075176833214,0.04076404126627868
02005,Muy bajo,58.291417465293,0.912762471853933,-0.024121750624319458,0.009916149313678272,0.03443684582090841,0.017594406947531876,-0.028467646890110186,0.01267076470106237,-0.025667279231032843,0.007797345105975212
02006,Medio,53.3990400136774,0.836154649808125,-0.002595144714530417,0.0259388568358691,0.0035159607840958736,0.009063326324266319,-0.004858059100999642,0.023433810666793113,-0.0026741701673355473,0.037427566021678314
