CVE_MUN,GM,IM,IMN,linear Component 1,linear Component 2,linear Component 3,rbf Component 1,rbf Component 2,rbf Component 3,cosine Component 1,cosine Component 2,cosine Component 3,sigmoid Component 1,sigmoid Component 2,sigmoid Component 3
20548,Alto,49.6856358646832,0.77800790887415,0.018481386384563675,0.017983085623983142,0.020535271643751678,-0.01578621419476603,0.013398183442541244,-0.007626082038320516,0.017405060716430137,0.004694181135368243,0.0408367984607257,0.017444800653506096,0.0036014344199997036,0.036984580986471755
20549,Alto,51.6898038116708,0.809390389672323,0.014815044201755365,-0.017731994308462205,-0.0020741153643259406,-0.030928911398767137,-0.008111742624494234,0.00026883013036633845,0.0281360025945381,-0.013001300912283013,-0.019935405122861787,0.017499141626815283,-0.019439997296697556,-0.006066666979943163
20550,Medio,53.687085210756,0.840665036714527,0.0018642036607763343,-0.00561188383374448,0.003341585051237299,-0.006432973612197993,-0.022672693127976918,0.0003284013173011629,0.007068375872644809,-0.015499422118828888,0.03424967378410075,0.002881302847355491,0.001132054883115931,0.020698217179346043
20551,Bajo,55.9767002010425,0.87651722094683,-0.011147859759399574,0.009595719765804424,-0.005025190246325345,0.021776845489890492,0.0038174949512048534,0.020580808559184937,-0.020231137543489958,0.022222650291945666,0.0045348713712421015,-0.010332858482674838,0.021657995086333495,0.0052506618441037645
20552,Medio,54.4568370435835,0.852718279133346,0.0034136842902822992,-0.027007512109131753,0.007633972539846666,-0.01381080022784624,-0.02480534721519939,-0.01741688846089669,0.010661838657286614,-0.032165981931338114,-0.025949312554007037,0.005365753931962318,-0.034009539893928645,-0.011398250948480255
20553,Muy bajo,57.0684831864466,0.893613023036029,-0.01588313401864213,0.0129617935140949,-0.009571780773820761,0.025330950203429372,0.01752191635779566,0.022584809132815967,-0.021457975972797742,0.028823052613196943,-0.001225010213021187,-0.015222633897806563,0.030008141530970818,-0.011412437526241673
20554,Alto,50.7311560242598,0.794379299496044,0.02100233265650808,-0.017193395481014614,-0.018028792238523893,-0.03292758209501231,0.014729532690266797,0.00017783797141250076,0.028319857253472497,0.00210169050495478,-0.020721264403676717,0.023112079491193867,-0.01567858259606298,-0.017184050614179977
20555,Medio,53.2272341100064,0.833464408463296,0.0037339619064416926,-0.008511558528860262,0.00017018377717915157,-0.010154600409545385,-0.016258628184623054,-0.006621750884803887,0.009378005562559926,-0.013683798612983909,0.0341051347201846,0.0046681398620908076,-0.0046561415396179345,0.02529803301838131
20556,Medio,54.1172918618237,0.847401474140678,0.0014397750848689304,-0.019988926110099208,0.013512033795701553,-0.009516250526474474,-0.029938614507609315,-0.019852776191153138,0.007378360075024691,-0.038103622475095605,-0.016253163271468904,0.002766310168248855,-0.027851950228827683,0.003756000169646985
20557,Muy bajo,57.402700187761,0.898846396138286,-0.017522961817277458,0.0046134405014859065,-0.005514179059884862,0.028790250743765906,0.012121889910204513,0.028275010987679663,-0.023762927024852443,0.02216479421209411,-0.018920856960105398,-0.017929897468849317,0.012360150672094363,-0.030586826229546688
20558,Medio,53.905758832112,0.844089161291306,0.00234113097341587,-0.01226249348789334,0.0076023352492947125,-0.009391167769280093,-0.029213112336539816,-0.004125359596537374,0.009970344534189983,-0.03137463640963519,-0.00236138912984784,0.0036973670141264518,-0.01064773763655791,0.008427790258142658
