CVE_MUN,GM,IM,IMN,Perplexity 100 Component 1,Perplexity 100 Component 2,Perplexity 200 Component 1,Perplexity 200 Component 2,Perplexity 300 Component 1,Perplexity 300 Component 2,Perplexity 400 Component 1,Perplexity 400 Component 2
5002,Muy bajo,58.4817122918216,0.915742223999208,-20.432066,14.816717,-14.028673,-2.07584,-8.433821,5.579711,-6.855098,4.3645797
5003,Muy bajo,59.7938289954527,0.936288145471786,-27.045137,7.4935675,-17.417925,2.911932,-12.047314,3.2255938,-9.627863,2.341288
5004,Muy bajo,58.0449869593202,0.908903713094021,-24.239773,4.032113,-15.379473,4.279902,-11.116999,1.7915308,-8.896041,1.2278864
5005,Bajo,55.9194917338476,0.875621415969041,-4.7057137,-17.093538,0.3004954,9.780651,-3.0500474,-5.894945,-2.6586645,-4.219469
5006,Muy bajo,59.3106239603317,0.928721827110563,-26.253569,8.2829685,-17.204521,2.2790773,-11.705676,3.6383076,-9.345692,2.706859
5007,Muy bajo,57.220514347307,0.895993619429459,-22.75669,5.1568527,-14.83756,3.2718036,-10.005073,3.1290522,-7.9075813,2.4491944
5008,Bajo,56.4434939150664,0.883826560859725,-7.158304,-15.097562,-1.57668,9.169545,-4.06359,-4.8294735,-3.4817648,-3.3802214
5009,Muy bajo,57.8246734818765,0.905453910653138,-17.269775,7.951939,-12.00163,0.99846673,-7.981966,2.826294,-6.413434,2.0836818
5010,Muy bajo,60.0842709636714,0.940836062478594,-29.067091,7.382607,-18.597027,3.3017502,-12.945269,3.3536997,-10.349526,2.452669
5011,Muy bajo,57.1210015864091,0.894435388088245,-15.969502,6.8375506,-10.870357,1.3444742,-7.2639513,2.2129266,-5.8040285,1.5509801
5012,Bajo,55.6679087962824,0.871681977301161,-1.2211143,-15.463106,2.0262625,8.175689,-1.2535087,-5.64672,-1.220727,-4.112076
5013,Bajo,56.0716090813527,0.878003361925379,-2.5683894,-13.541988,0.3511646,7.2164006,-2.04046,-4.4407606,-1.7785015,-3.2079074
5014,Bajo,55.4032123875801,0.867537199925627,0.39463815,-16.939781,3.4477894,8.4276085,-0.31146872,-6.339606,-0.38249692,-4.722775
5015,Muy bajo,56.6770026083266,0.887482982016175,-5.8207874,-16.534163,-0.5221809,9.6644335,-3.5770943,-5.5090666,-3.1070724,-3.9235656
5016,Muy bajo,57.3261855621437,0.897648283588476,-7.934631,-16.424759,-1.8301847,10.067046,-4.6484504,-5.307716,-4.026825,-3.7560291
5017,Muy bajo,58.1804004142075,0.911024099339196,-20.505802,6.2220917,-13.828934,2.000938,-9.544603,2.810183,-7.705682,2.0922034
5018,Muy bajo,60.4768300568519,0.946982991543298,-31.081772,9.781554,-19.98821,2.2665222,-13.543198,4.469477,-10.822374,3.3478248
5019,Muy bajo,59.4673507022789,0.931175949768852,-26.14213,7.1931167,-16.825182,2.920119,-11.64171,3.0608058,-9.298226,2.2212167
5020,Muy bajo,58.9049613636146,0.922369715416957,-24.174063,8.759203,-16.034597,1.542581,-10.655531,3.8245528,-8.502159,2.8671253
5021,Muy bajo,57.7527937612693,0.904328374265269,-9.773098,-15.205564,-3.1497817,9.961857,-5.530156,-4.7673583,-4.7890453,-3.334074
5022,Muy bajo,58.9554821241229,0.923160800215486,-20.759058,13.515565,-14.637613,-0.7975812,-9.245389,4.783691,-7.435661,3.6158535
5023,Bajo,55.1278959758259,0.863226128082429,-2.0978935,-16.02379,1.0088916,8.3357935,-2.3140233,-5.1298018,-2.1241703,-3.6358697
5024,Muy bajo,57.9477297945311,0.9073808012487,-20.157042,10.099623,-14.291791,0.28465554,-9.255833,4.0386047,-7.405134,3.0313733
5025,Muy bajo,59.2727558881289,0.92812886580183,-25.68797,12.651026,-17.300894,-0.39985403,-10.9270735,5.4740505,-8.733577,4.1640577
