CVE_MUN,GM,IM,IMN,Component 1,Component 2,Component 3
1001,Muy bajo,60.3187950417198,0.944508383147691,-7.0605645,1.1691211,-0.55054796
1002,Muy bajo,56.546071016613,0.885432775510777,-2.1858513,-0.7570538,-1.4626489
1003,Muy bajo,57.0582509369582,0.893452800249523,-2.661446,0.5524079,-0.42210096
1004,Muy bajo,57.1140301001378,0.894326224315631,-3.0871108,-0.8932271,-0.7190077
1005,Muy bajo,59.0117616967172,0.924042059996595,-6.028584,1.3111073,-0.879534
1006,Muy bajo,58.6247678266779,0.917982274581019,-5.5415444,0.7468674,-0.44511512
1007,Muy bajo,57.6466713495514,0.902666644991035,-4.083975,-0.314166,-0.15388171
1008,Muy bajo,57.5275305589345,0.900801066021251,-4.119966,-0.2493144,-0.12193111
1009,Muy bajo,56.6043143837497,0.886344785581358,-2.3428085,-0.5517307,-1.4417896
1010,Muy bajo,56.5557942161932,0.885585027284178,-2.6630602,-0.42434186,-1.1208258
1011,Muy bajo,58.5520978333435,0.916844363622086,-5.130936,0.65976626,-0.68930376
2001,Muy bajo,58.082237567032,0.909487005768167,-5.2137127,-0.5724047,0.702928
2002,Muy bajo,59.3849890945595,0.929886281616716,-6.16352,0.12697694,0.11934547
2003,Muy bajo,58.3900774399861,0.914307349750025,-5.2279305,0.024009198,0.23766586
2004,Muy bajo,59.1402868170204,0.926054584508856,-5.742477,-0.1378364,0.66803443
2005,Muy bajo,58.291417465293,0.912762471853933,-5.1137886,0.4137162,0.47020596
2006,Medio,53.3990400136774,0.836154649808125,-0.9359095,2.3078737,1.6731086
3001,Muy bajo,58.2638228268869,0.912330378220656,-5.470868,1.432489,-0.2863265
3002,Muy bajo,57.4925673102967,0.900253590206829,-5.402027,1.8039291,-1.0684909
3003,Muy bajo,59.8532531027085,0.937218644289365,-7.1811843,1.561436,-0.6384576
3008,Muy bajo,58.7357270060101,0.919719740904642,-7.148613,2.3751194,-0.2111149
3009,Muy bajo,58.8193122984084,0.921028570255816,-6.3574986,1.6065655,0.05573027
4001,Bajo,55.3812819245503,0.867193799395765,-1.9021552,-1.856622,1.6775049
4002,Muy bajo,58.6407010357592,0.91823176646058,-5.7874207,0.637458,0.8418923
4003,Muy bajo,58.0950832846142,0.909688151827791,-6.1917167,1.9191257,0.6363392
4004,Bajo,54.8325989080778,0.858602186973956,-1.2298259,-0.86621624,1.3345561
4005,Bajo,55.6860046589221,0.871965333325626,-2.225125,-1.4176428,1.538833
4006,Medio,53.6026514197597,0.839342921056186,0.48472682,-2.393655,0.27491972
4007,Medio,52.7603020275498,0.826152901893314,1.251101,1.681704,1.0892433
4008,Bajo,55.1820078528213,0.864073444767297,-1.5658507,-2.1260467,1.7887269
4009,Bajo,54.8902956416295,0.859505637523358,-1.3243073,-0.879031,1.5057817
4010,Alto,50.7093716101968,0.794038185889743,2.1556485,0.30297443,2.2784452
4011,Alto,50.5139363387235,0.790977941530723,2.06073,-1.3390307,2.5799217
4012,Bajo,55.8783319762054,0.874976911447448,-2.4645875,-0.5583655,1.1304247
5001,Muy bajo,57.8201477198815,0.905383043518916,-2.3385706,-0.018841578,-3.492209
5002,Muy bajo,58.4817122918216,0.915742223999208,-4.7606397,-0.934028,1.275598
5003,Muy bajo,59.7938289954527,0.936288145471786,-6.4894977,1.2731954,-0.2634761
5004,Muy bajo,58.0449869593202,0.908903713094021,-5.2914586,1.3014446,-1.1498814
5005,Bajo,55.9194917338476,0.875621415969041,-1.0839145,0.3726117,-2.7505958
5006,Muy bajo,59.3106239603317,0.928721827110563,-6.3928885,1.1475849,0.24144973
5007,Muy bajo,57.220514347307,0.895993619429459,-4.8546767,1.4329406,0.6086565
5008,Bajo,56.4434939150664,0.883826560859725,-1.9226049,-0.3439402,-2.7728631
5009,Muy bajo,57.8246734818765,0.905453910653138,-3.9998662,-0.1518036,-0.27535203
5010,Muy bajo,60.0842709636714,0.940836062478594,-6.9869604,1.6778244,-0.324841
5011,Muy bajo,57.1210015864091,0.894435388088245,-3.4758127,-0.09639698,-0.54764324
5012,Bajo,55.6679087962824,0.871681977301161,-0.11809288,-0.6470675,-3.0504408
5013,Bajo,56.0716090813527,0.878003361925379,-0.6747319,-1.0222871,-2.7365613
5014,Bajo,55.4032123875801,0.867537199925627,0.6154972,-0.4405738,-3.1305988
5015,Muy bajo,56.6770026083266,0.887482982016175,-1.4842384,-0.059729576,-3.0216274
5016,Muy bajo,57.3261855621437,0.897648283588476,-2.2100682,-0.11536201,-3.1791177
5017,Muy bajo,58.1804004142075,0.911024099339196,-4.608856,0.44266316,-0.53435236
5018,Muy bajo,60.4768300568519,0.946982991543298,-7.22025,1.3735858,-0.33579654
5019,Muy bajo,59.4673507022789,0.931175949768852,-6.136522,1.2203672,-0.3168402
5020,Muy bajo,58.9049613636146,0.922369715416957,-5.5249205,0.8107378,0.24828851
5021,Muy bajo,57.7527937612693,0.904328374265269,-2.9319901,-0.33858588,-3.05176
5022,Muy bajo,58.9554821241229,0.923160800215486,-5.3500834,-0.46797642,0.86856854
5023,Bajo,55.1278959758259,0.863226128082429,-0.9482992,-0.7783882,-3.2322192
5024,Muy bajo,57.9477297945311,0.9073808012487,-4.9179463,0.007675467,0.36016354
5025,Muy bajo,59.2727558881289,0.92812886580183,-5.671167,-0.3513961,0.7810254
5026,Bajo,56.4638302346,0.884144999321047,-0.9067158,-0.26152253,-2.9269388
5027,Muy bajo,60.1650088427359,0.942100305299779,-7.0668697,1.1447886,-0.35706028
5028,Muy bajo,59.7511520314129,0.935619883609541,-6.4494557,0.7479212,-0.2040696
5029,Muy bajo,57.4433073588306,0.8994822479232,-2.8375769,-0.25540414,-2.9650106
5030,Muy bajo,60.7375040578758,0.951064783612676,-7.396344,1.5012134,-0.5338239
5031,Muy bajo,59.9613705887526,0.938911613650952,-6.7685513,0.8630975,-0.18408601
5032,Muy bajo,59.7579886590898,0.935726935684252,-6.3972545,0.91747904,-0.23378909
5033,Muy bajo,57.059406535828,0.893470895319548,-3.4777136,-0.14679003,0.111239776
5034,Muy bajo,57.9045374458784,0.906704469180692,-3.8749309,0.53250504,-3.2181509
5035,Muy bajo,60.2884207175746,0.944032763504298,-6.9980016,0.77992064,-0.32046935
5036,Bajo,54.8588292288359,0.85901291729162,-0.28235555,-0.424105,-1.7487838
5037,Muy bajo,58.337700821595,0.913487204799895,-4.7971315,0.09284704,0.66940427
5038,Muy bajo,57.7682332789898,0.904570135625203,-4.3202744,-1.0611335,0.9414945
6001,Bajo,56.4059237449604,0.883238264283229,-2.5384746,1.2878058,-0.104515396
6002,Muy bajo,59.7711755354347,0.935933423815301,-6.6795363,1.0403813,-0.38031137
6003,Muy bajo,57.1625072020632,0.895085308264963,-3.3983295,0.14947331,-0.6495424
6004,Muy bajo,57.1251916292823,0.89450099832825,-3.6580138,0.89589936,0.30855358
6005,Muy bajo,58.1700784403634,0.910862471594152,-4.640998,1.0518758,-0.6079375
6006,Bajo,55.0289760226252,0.861677179284729,-0.07825889,-0.15430637,-2.235694
6007,Muy bajo,59.7547410038696,0.935676081923348,-6.7862263,1.7033246,-0.48753858
6008,Muy bajo,57.3805329920052,0.898499288703402,-4.7779474,1.343325,-0.824306
6009,Muy bajo,57.1954216340676,0.895600702462298,-3.8165534,1.6198393,0.7333315
6010,Muy bajo,60.5120922228991,0.947535147988342,-7.2378654,1.0381451,-0.37208602
7001,Medio,53.2907904738896,0.834459612668694,0.28291297,-0.7739658,1.8656338
7002,Medio,53.3009496928406,0.834618691898622,-0.08519597,-1.0803084,2.6935606
7003,Alto,52.1499492969481,0.816595627575556,1.7238556,0.63287884,1.3312602
7004,Alto,49.7840661417914,0.779549190025736,3.8410475,-0.14030924,1.6310198
7005,Alto,48.7593250790908,0.763503171142121,5.30127,0.25751778,1.2032542
7006,Alto,52.2296012272431,0.817842865950352,3.371026,-1.0599099,-0.72219616
7007,Muy alto,45.981946197677,0.720013283208214,4.807265,-0.5866078,2.8184967
7008,Alto,51.5472580763044,0.807158321841021,4.037162,-1.1249443,0.83540034
7009,Medio,54.5793351882981,0.854636429595784,-0.86494035,0.79780424,1.6936166
7010,Alto,49.7756697893572,0.779417714832035,2.8873417,1.743107,2.686932
7011,Alto,51.5097790448289,0.806571452368638,2.6920917,0.9759662,0.8965946
7012,Medio,53.2988113851827,0.834585208976637,0.06266243,0.5972396,2.467236
7013,Alto,52.0224667435321,0.814599428209782,1.91607,-0.66620517,2.0314503
7014,Alto,50.0944470305582,0.784409322778825,5.245389,-1.1079345,0.76630414
7015,Medio,54.5750731851716,0.854569692558361,-0.579926,-0.802967,1.3728023
7016,Alto,52.1298806862818,0.816281381062519,2.3519242,-1.1846045,-0.058326285
7017,Medio,53.7799251744326,0.842118781337958,-0.33531725,-0.2816316,1.7535769
7018,Alto,52.2651458294411,0.818399444952443,3.3558676,-1.0087975,-0.13849398
7019,Bajo,54.9683255947039,0.860727477992228,-1.2556581,1.00501,1.688819
7020,Alto,50.345273777775,0.788336920558257,3.9174864,-1.0064015,0.8841451
7021,Medio,53.1786471264422,0.832703603920424,0.6714907,-0.8754356,1.5209473
7022,Muy alto,37.8069459586062,0.592004156820721,4.8712435,0.7795103,3.3448145
7023,Muy alto,46.3278465780139,0.725429601765908,5.9784226,-1.336184,1.620397
7024,Muy alto,46.4378836071254,0.727152628500454,5.1178203,-0.0039139274,2.8241813
7025,Alto,51.5044924730301,0.806488672011725,3.726843,1.0931709,-0.23628715
7026,Muy alto,45.4293080626882,0.711359739134878,5.885339,-0.4150194,1.9540377
7027,Bajo,55.0370926693881,0.86180427467689,-1.6323156,-0.18755983,1.6728756
7028,Alto,51.6651883576316,0.809004945920024,4.2973614,-2.1251073,0.18288565
7029,Medio,53.411133839476,0.836344022288845,1.3664318,-1.0230966,0.4953474
7030,Alto,50.6852195036764,0.793659997514736,4.132129,-0.6134262,0.668964
7031,Muy alto,45.2557776016108,0.708642493621175,5.565024,-0.79327077,2.183622
7032,Alto,52.5820017564812,0.823360967793416,0.9762624,-0.46967673,1.5690821
7033,Alto,49.9740571910312,0.782524185441443,5.0999966,-0.7551752,0.68598056
7034,Medio,53.310646120513,0.834770524461207,1.2994246,-0.027073909,0.5900149
7035,Alto,52.3329033180957,0.819460432924949,1.939369,-0.46064147,0.3243353
7036,Alto,52.0599373900267,0.815186166385033,2.1943781,0.92130125,1.4068623
7037,Alto,52.5506286011626,0.822869707843947,0.8085454,0.39825872,2.1521707
7038,Muy alto,48.5315608456366,0.759936700231522,4.423594,0.3856287,1.8664579
7039,Alto,48.9210111099177,0.766034949362297,5.682721,-0.6251586,1.1195499
7040,Medio,54.488482551691,0.853213803748449,-1.0178201,-0.08961286,1.8524885
7041,Alto,52.2893584036738,0.818778580167671,3.5371273,-1.5048162,-0.6080031
7042,Medio,52.9477110108393,0.829087465749765,2.966828,-0.94192785,-0.5332614
7043,Medio,53.4659644235862,0.837202592926888,-0.052789547,-0.93561184,1.7702775
7044,Alto,51.6527299008629,0.808809863825778,4.020537,-1.4033375,0.93097514
7045,Alto,51.0570492659982,0.79948233410773,3.912563,-0.8164308,0.5078637
7046,Medio,53.4321289661094,0.83667277675247,0.73873186,-0.11499839,0.7993341
7047,Alto,52.5191148773229,0.822376246787071,3.4378133,-1.5045722,0.5664251
7048,Medio,53.716152579478,0.841120191254916,0.40232846,0.5628145,1.3711419
7049,Alto,50.5089646729303,0.790900092163596,4.6831746,-2.149138,0.91930485
7050,Medio,52.6928205936953,0.825096236554786,1.5366098,0.41667274,0.12562473
7051,Medio,53.0837629810148,0.831217850255717,0.7830934,0.29457766,1.4904557
7052,Alto,49.1299085992887,0.769305993317883,4.1588287,0.24603093,1.8845425
7053,Alto,52.5462404399952,0.822800995347181,2.7089717,-0.32121742,-0.16491292
7054,Alto,52.3810255780799,0.820213960543325,1.4195457,-0.13264386,1.3977839
7055,Medio,53.7172061335794,0.841136688445886,0.88318694,0.2520364,-0.39048886
7056,Muy alto,45.5708330998031,0.713575824252094,5.5371265,-0.47099537,2.4289691
7057,Medio,53.0043935129513,0.829975034846356,1.0894308,-0.7806557,1.8444693
7058,Alto,51.4857630626166,0.806195395510849,4.4864373,-2.131263,0.78474516
7059,Muy alto,47.0642589778532,0.736960795063471,5.6686077,0.24995156,1.5792344
7060,Alto,48.7983796549241,0.764114711446422,5.7101116,-1.4327986,1.4593203
7061,Medio,52.7896289931032,0.826612121358794,0.772063,-0.66270554,1.9681119
7062,Alto,51.6489356841444,0.808750451672474,2.7334676,-0.57266635,0.31728387
7063,Medio,54.564009802543,0.85439645538359,0.90197945,-2.1396844,-1.5079138
7064,Muy alto,40.8340559064578,0.63940448569795,4.486042,1.2916827,3.3408382
7065,Medio,52.6741669326229,0.824804146183168,0.58829767,-1.0892326,1.7294989
7066,Muy alto,45.4935597483737,0.712365831112003,6.0109673,-1.4152267,1.6588442
7067,Alto,49.7245203468974,0.778616785749097,5.459289,-0.9814135,0.9995895
7068,Medio,53.8688979626885,0.843511971376347,-0.33754924,-0.3263827,1.6663011
7069,Alto,52.2159881034543,0.817629703377551,1.49418,1.1617427,1.8677336
7070,Medio,52.9851964072576,0.829674434888293,2.524507,-0.4817569,-0.022183158
7071,Alto,52.1712242149923,0.816928763183282,1.4997442,-0.15804195,1.5713668
7072,Alto,50.3948368506767,0.789113009301705,5.1972795,-1.2216175,1.4575882
7073,Alto,51.4744684222445,0.806018537161661,1.3343687,-0.4523873,2.7118611
7074,Bajo,56.2836431212427,0.881323519896874,-2.8929482,0.19320807,1.5728437
7075,Alto,50.0594556971995,0.783861407196758,4.14229,-0.42720792,2.631545
7076,Alto,48.9361378462015,0.766271813000236,5.192551,-0.47069162,1.4369978
7077,Muy alto,48.0926829231702,0.753064482763297,4.9061847,-1.2449447,1.5736477
7078,Bajo,55.8329040362097,0.874265573130339,-2.8003268,0.7600355,1.8280853
7079,Medio,53.246705867343,0.833769309083845,1.0429149,-0.35332912,1.5329193
7080,Alto,50.8504760253906,0.796247684653064,4.2263412,-1.1535883,0.7105344
7081,Muy alto,48.6987056909843,0.762553955889921,5.560079,-1.4575933,1.5566618
7082,Muy alto,35.9017299159572,0.562171125130602,3.2463589,-3.4182303,2.535664
7083,Alto,51.8389002231647,0.811725031975037,4.0518436,-0.47413492,0.087822065
7084,Alto,52.3585588020491,0.819862162098269,3.2655165,-0.99843305,0.023377592
7085,Alto,52.4575014394617,0.821411466099158,3.0666854,-1.0735753,-0.18947372
7086,Medio,54.1829143338017,0.848429030723386,-0.9664206,-0.5696958,2.5755234
7087,Alto,51.2573346789155,0.802618524931697,1.7324052,-0.11809606,2.48053
7088,Alto,51.7437643596455,0.810235336755335,2.519065,0.059679415,0.50468594
7089,Bajo,55.5116640419866,0.869235401898699,-2.5275326,0.41079623,1.8435805
7090,Alto,51.8493451247474,0.811888584597387,3.7907448,-0.9453317,0.53237116
7091,Bajo,54.6305559373357,0.85543847524049,-1.0244788,-0.74191695,2.0511484
7092,Alto,50.649014322504,0.79309307476525,3.8306136,-0.8086306,0.54998475
7093,Alto,49.8303546585047,0.780274003776557,4.996235,-1.6696296,0.8495622
7094,Alto,50.0047965654837,0.783005521264596,4.974478,-1.0902097,1.2293819
7096,Muy alto,48.3404725600387,0.756944523621499,5.634234,-0.19477752,1.3062053
7097,Bajo,55.0724437277739,0.862357823052242,-1.5279875,-0.09453012,1.1822568
7098,Alto,49.5923052604024,0.776546481501695,5.1325917,-1.8092893,0.92827487
7099,Alto,51.782928377283,0.810848590765976,2.573322,0.71374166,0.9303075
7100,Muy alto,47.4784672250844,0.743446719750927,4.5083256,-0.32322624,2.0168114
7101,Muy bajo,58.3458969364367,0.913615544551574,-5.7676134,0.6744628,0.99717295
7102,Alto,52.2950494073419,0.818867693364799,1.4953071,1.8087581,1.9371071
7103,Alto,52.5582458193254,0.8229889828793,2.1184087,-0.64331627,0.26510966
7104,Medio,52.9232601681887,0.828704599582718,1.409811,-0.14814396,0.7439225
7105,Medio,53.8027392757174,0.84247601841311,1.5608835,-1.1215473,-0.49915472
7106,Alto,50.853665914174,0.796297633871962,4.3103805,-0.974164,0.77510613
7107,Alto,51.1558305458545,0.801029111473853,1.5686971,-1.1365464,2.2513573
7108,Medio,53.7093421570287,0.841013549517598,0.052711308,-0.2741393,1.6293672
7109,Alto,49.1812077809565,0.770109267108421,5.5245223,-0.757186,1.585747
7110,Alto,50.3962000959717,0.789134355825762,4.7146764,-2.012484,0.85470974
7111,Muy alto,46.9222208672218,0.734736675929044,4.9822097,-0.56864166,2.6953902
7112,Muy alto,44.1093576214964,0.690691152234511,5.395563,-0.30189455,2.584491
7113,Alto,49.4393330730197,0.774151149942576,5.208348,-1.6361154,0.9601669
7114,Alto,51.4193366673905,0.805155250608916,1.742219,-0.59142804,1.9926665
7115,Muy alto,48.6718646044325,0.762133661829946,4.676269,-0.6247988,1.7742428
7116,Alto,49.0872296767312,0.768637700787977,3.4731534,0.34,2.0229814
7117,Alto,50.9137510583727,0.797238483608086,4.3513026,-0.8030131,0.43482327
7118,Alto,49.319821722491,0.772279768520293,5.500381,-2.0061328,0.50371534
7119,Muy alto,47.997792091263,0.751578624397621,6.0017657,-1.4418952,0.9259983
7120,Alto,50.038163850557,0.783528006510743,5.2304473,-0.27561185,0.6775475
7121,Alto,49.8625241675954,0.780777733517792,5.7129908,-1.5459732,1.6530701
7122,Medio,53.5005063060139,0.837743470732887,-0.32097262,-0.9367736,2.556825
7123,Medio,53.2020823971516,0.83307056764427,0.31387088,-0.370099,1.8525679
7124,Alto,51.2981525524098,0.803257676023342,3.5002818,-0.84971255,1.0884109
7125,Alto,50.0151909816176,0.78316828335508,5.1376185,-1.013389,0.92494136
8001,Muy bajo,57.8792460709196,0.906308441447489,-3.3737853,1.8592883,-0.3139275
8002,Muy bajo,59.6189434907829,0.933549681861274,-6.235,1.2762359,-0.5582027
8003,Muy bajo,57.199977652043,0.895672043363067,-2.4744878,0.30263072,-3.3777099
8004,Muy bajo,59.7382969251766,0.93541859053666,-6.359381,0.7266157,-0.5074205
8005,Muy bajo,57.103885926836,0.89416738067963,-2.4904077,1.5065802,0.42931518
8006,Bajo,56.4884627618087,0.884530710415418,-1.4703587,1.3507326,-3.6761692
8007,Muy alto,37.0071329897794,0.579480198849004,3.4680705,-2.3311083,3.7376704
8008,Muy alto,21.4066346942113,0.335198107151815,3.553563,-2.4362388,3.865666
8009,Alto,51.0463984941947,0.799315557844239,2.0090287,-1.7009649,3.3682094
8010,Muy bajo,57.6734348889874,0.903085724771102,-3.2823327,1.7095205,-0.65551656
8011,Muy bajo,59.1702578267324,0.926523888809526,-5.7422585,0.44392517,-0.13640887
8012,Muy alto,36.2118547830645,0.567027248940815,3.4261975,-2.5146143,3.5797107
8013,Muy bajo,57.3475230143538,0.897982398394209,-3.625247,1.01208,-0.4516882
8014,Bajo,56.5218322717029,0.885053230499164,-0.84755975,-0.14057116,-3.6311674
8015,Bajo,55.9134308710109,0.875526511292076,0.10364727,0.6780898,-3.7318554
8016,Muy bajo,57.2047721222766,0.895747118094339,-2.0025675,0.11615931,-3.3605776
8017,Muy bajo,59.7550793825456,0.935681380462485,-6.3457704,1.9111115,-0.84128845
8018,Bajo,55.5399045676485,0.869677609227504,-0.09117075,1.0544522,-3.7582617
8019,Muy bajo,61.1241347126691,0.957118881582995,-7.539387,1.5899692,-0.6910515
8020,Muy alto,46.9759049848856,0.735577294498103,3.364337,-2.0735288,3.5804238
8021,Muy bajo,59.8239321190413,0.936759518491897,-6.534316,1.0133053,-0.3645653
8022,Bajo,55.1876973474337,0.864162534334713,0.0030040185,1.0107464,-3.7626362
8023,Bajo,56.0690248832298,0.877962896979267,-2.0169694,1.4733044,-2.782837
8024,Muy bajo,57.73560443975,0.904059213413096,-2.330816,1.1893026,-3.6476243
8025,Muy bajo,57.0518593120914,0.893352716299496,-1.3474146,0.46561778,-3.604355
8026,Bajo,56.1824495534136,0.87973896945834,-0.64068747,1.0587614,-3.8177924
8027,Muy alto,40.5223159301178,0.634523071524942,3.4639666,-2.2406466,3.7325141
8028,Bajo,56.2443673197374,0.880708515506436,0.025853753,-0.38940138,-3.350253
8029,Muy alto,39.3476294612872,0.616129116264177,3.48922,-2.2703514,3.7437928
8030,Muy alto,45.9632185719232,0.719720034652625,3.2563243,-2.1950457,3.413444
8031,Bajo,55.9626734119232,0.876297580950661,-2.0202138,1.4694556,-0.83661604
8032,Muy bajo,59.787543846929,0.936189728793106,-6.5641327,1.0488138,-0.10379879
8033,Bajo,56.1289051917859,0.878900539274304,0.05673439,0.59761167,-3.6833417
8034,Muy bajo,56.6376640852616,0.886866995493405,-0.37770882,0.59665203,-3.776936
8035,Bajo,55.7900940274089,0.8735952279723,-0.08915713,1.0016723,-3.644927
8036,Muy bajo,58.8406142114328,0.921362128567362,-5.5344124,0.4041705,0.13677706
8037,Muy bajo,59.0676837282585,0.924917721182414,-5.2838464,-0.77133137,1.0250256
8038,Muy bajo,57.1009447936851,0.894121326627736,-1.6617337,0.6840931,-3.498154
8039,Muy bajo,56.6285335688641,0.886724024313792,-1.6214198,-0.056349996,-3.2215521
8040,Muy bajo,57.308730023454,0.897374954145914,-3.7741225,1.7606469,-0.8888673
8041,Muy alto,43.8861029969325,0.687195295522998,3.4743786,-2.1009772,3.7033792
8042,Bajo,54.9020494158249,0.859689685269232,1.1384735,0.48240155,-3.765445
8043,Bajo,56.3693172154256,0.882665056976955,-0.6212397,0.33744812,-3.440508
8044,Bajo,56.5311710069503,0.885199462096183,-1.420688,-0.16299221,-3.2451627
8045,Muy bajo,58.5300430129362,0.916499015828764,-4.418615,1.291514,-0.31171533
8046,Muy alto,39.5596311496211,0.619448767655328,3.4685278,-2.3087628,3.65392
8047,Medio,52.8473147515901,0.827515400053958,0.40407842,1.9733229,-2.0991843
8048,Muy bajo,57.3583167051025,0.898151412569479,-1.959348,1.084756,-3.6360087
8049,Alto,49.1095128896613,0.768986624890346,2.1114829,-2.4350603,2.7552154
8050,Muy bajo,59.7135984544129,0.935031846857992,-6.3256717,0.8488363,-0.43032217
8051,Medio,53.6372905228771,0.839885321202882,-1.2914402,2.50383,-2.2899566
8052,Muy bajo,58.592368680844,0.917474949047979,-4.0535545,1.4179347,0.54587215
8053,Bajo,56.1029084642484,0.878493466701374,0.27428734,0.07321344,-3.4274411
8054,Muy bajo,57.3957015514393,0.89873680723367,-1.8615569,1.972563,-3.5760913
8055,Muy bajo,57.7002206334115,0.90350515225038,-3.1552482,0.73872286,-1.7166451
8056,Bajo,55.0714721618796,0.86234260968249,0.72582537,0.41393024,-3.4756777
8057,Medio,53.8065434665338,0.842535586746907,0.27969438,1.4394909,-3.2175891
