CVE_MUN,GM,IM,IMN,Perplexity 200 Component 1,Perplexity 200 Component 2,Perplexity 200 Component 3,Perplexity 300 Component 1,Perplexity 300 Component 2,Perplexity 300 Component 3,Perplexity 400 Component 1,Perplexity 400 Component 2,Perplexity 400 Component 3
2002,Muy bajo,59.3849890945595,0.929886281616716,-11.647346,0.7833486,-1.5532122,-9.308846,0.30370206,-1.4183774,-8.934423,-0.43896574,0.615146
2003,Muy bajo,58.3900774399861,0.914307349750025,-7.1543155,0.6378923,0.5625168,-5.825083,0.33915588,0.821194,-5.496066,0.083159976,0.14555414
2004,Muy bajo,59.1402868170204,0.926054584508856,-12.228702,0.6631754,-1.846158,-9.59232,0.28174472,-1.9142399,-9.330948,-0.73694354,0.5389505
2005,Muy bajo,58.291417465293,0.912762471853933,-7.4136634,0.50205934,0.3762687,-6.0067806,0.1975382,0.64515007,-5.5903726,0.16219677,0.5543925
2006,Medio,53.3990400136774,0.836154649808125,-4.994836,-3.5736716,-0.25969994,-3.394699,-2.570215,-1.337781,-2.3181872,-2.9436867,-0.37966907
3001,Muy bajo,58.2638228268869,0.912330378220656,-7.070977,2.4678218,0.7226723,-5.9697394,1.7194589,1.1474215,-5.6003575,1.3939706,0.28845054
3002,Muy bajo,57.4925673102967,0.900253590206829,-6.6449986,3.3515525,0.10456212,-5.7689137,2.6495879,0.8222643,-5.4798965,2.1545568,-0.16825749
3003,Muy bajo,59.8532531027085,0.937218644289365,-9.882652,2.218174,-0.45013043,-8.234484,1.394318,0.14941607,-7.6779566,1.0010958,0.19147515
3008,Muy bajo,58.7357270060101,0.919719740904642,-10.058256,2.441737,-0.99643487,-8.46385,1.6583741,-0.22019297,-7.969552,1.2180625,0.54881674
3009,Muy bajo,58.8193122984084,0.921028570255816,-8.03114,2.734744,0.8073962,-6.7492046,1.8180867,1.2961248,-6.1655755,1.5464776,0.14529906
4001,Bajo,55.3812819245503,0.867193799395765,-2.5769064,-3.4397192,0.1422106,-1.9593312,-2.7259445,-0.9479079,-1.8284632,-2.5225945,0.87694913
4002,Muy bajo,58.6407010357592,0.91823176646058,-9.173946,0.61180925,-0.61921036,-7.465144,0.14104642,-0.18768498,-7.0434685,0.020549353,0.8328545
4003,Muy bajo,58.0950832846142,0.909688151827791,-8.961905,1.5357809,-0.9272258,-7.399719,0.97905874,-0.30587885,-7.073285,0.8817518,1.0084262
4004,Bajo,54.8325989080778,0.858602186973956,-2.1101425,-2.1364934,1.0398681,-1.3585622,-1.6122432,0.61598086,-1.2478687,-1.001408,1.0426039
4005,Bajo,55.6860046589221,0.871965333325626,-2.9088676,-3.0327048,0.39980662,-2.2464335,-2.4104855,-0.4458362,-2.3287704,-1.9751048,0.91192216
4006,Medio,53.6026514197597,0.839342921056186,0.16721852,-2.8323643,-1.3941894,0.62164235,-0.8001712,-2.825621,0.28450802,-1.9724107,-0.45460263
4007,Medio,52.7603020275498,0.826152901893314,2.131181,0.4739217,2.5222454,2.1569011,-3.0166678,-1.8220447,2.4266853,-1.4737864,-2.692964
4008,Bajo,55.1820078528213,0.864073444767297,-2.2518914,-3.7167115,0.04548008,-1.7410597,-2.9220383,-1.2107884,-1.4725385,-2.7916176,0.87671906
