Metrics,SOM,Cluster,Kmeans++,Kmeans
Calinski Harabasz model,480.5156810658572,397.2601147408873,694.0834448297353,694.1088327645459
Calinski Harabasz true,474.3738319273018,474.3738319273018,474.3738319273018,474.3738319273018
Fowlkes Mallows,0.49698820259999216,0.46341665739144855,0.549310387459511,0.5487953620652916
