CVE_MUN,GM,IM,IMN,Perplexity 100 Component 1,Perplexity 100 Component 2,Perplexity 200 Component 1,Perplexity 200 Component 2,Perplexity 300 Component 1,Perplexity 300 Component 2,Perplexity 400 Component 1,Perplexity 400 Component 2,SOM labels
1001,Muy bajo,60.3187950417198,0.944508383147691,-32.38558,12.456501,-18.727943,7.5339804,-14.103671,2.9249961,-11.198467,2.085613,1
1002,Muy bajo,56.546071016613,0.885432775510777,-8.008011,-4.659949,-5.915353,-2.2571223,-2.479682,3.5354142,-2.3970659,2.5174274,3
1003,Muy bajo,57.0582509369582,0.893452800249523,-12.107997,4.8695927,-8.030131,2.223131,-5.762303,1.8694224,-4.7610936,1.3731674,4
1004,Muy bajo,57.1140301001378,0.894326224315631,-14.147072,8.55137,-8.677508,3.8972058,-6.4829774,1.0679414,-5.0418115,0.83536357,4
1005,Muy bajo,59.0117616967172,0.924042059996595,-28.215872,8.612652,-17.131037,5.3207297,-12.373731,3.561759,-9.930499,2.5737808,1
1006,Muy bajo,58.6247678266779,0.917982274581019,-25.152077,10.619104,-15.18915,5.9276896,-11.478191,2.4984183,-9.195972,1.7490757,1
1007,Muy bajo,57.6466713495514,0.902666644991035,-17.44719,9.20547,-10.724092,4.988179,-8.45561,1.1432059,-6.833729,0.69179744,1
1008,Muy bajo,57.5275305589345,0.900801066021251,-17.2865,9.28663,-10.733405,5.01637,-8.534896,1.1474365,-6.9176188,0.7011474,1
1009,Muy bajo,56.6043143837497,0.886344785581358,-8.227993,-4.467517,-6.3471084,-1.9358078,-2.9419007,3.5155303,-2.7952561,2.4955413,3
1010,Muy bajo,56.5557942161932,0.885585027284178,-15.019204,6.573233,-8.87644,2.60713,-5.454494,1.9596869,-3.9223108,1.6977601,3
1011,Muy bajo,58.5520978333435,0.916844363622086,-22.63104,7.881819,-14.265491,4.9414234,-10.639452,2.7170615,-8.567271,1.9337391,1
2001,Muy bajo,58.082237567032,0.909487005768167,-20.0143,14.059624,-12.145296,7.6791,-10.412076,0.11298367,-8.374879,-0.10286036,1
2002,Muy bajo,59.3849890945595,0.929886281616716,-27.529408,14.633979,-15.416039,7.439183,-12.311781,1.4870868,-9.847222,0.86694103,1
2003,Muy bajo,58.3900774399861,0.914307349750025,-21.377022,12.704389,-13.166036,6.909661,-10.676682,1.051959,-8.563831,0.66413045,1
2004,Muy bajo,59.1402868170204,0.926054584508856,-21.347628,14.652225,-13.348595,7.90027,-11.358359,0.53612375,-9.187224,0.2201665,1
2005,Muy bajo,58.291417465293,0.912762471853933,-21.537102,12.6773,-13.281718,6.9620843,-10.772574,1.0266136,-8.628383,0.6205588,1
2006,Medio,53.3990400136774,0.836154649808125,-8.872096,19.467262,-5.089507,10.906582,-6.267077,-5.5592527,-4.997474,-4.590288,4
3001,Muy bajo,58.2638228268869,0.912330378220656,-25.594936,9.09298,-15.764817,5.3203053,-11.606228,3.0066564,-9.29304,2.1375422,1
3002,Muy bajo,57.4925673102967,0.900253590206829,-25.162941,5.958933,-16.002413,3.5959883,-11.226589,4.23465,-9.170378,3.1484387,1
3003,Muy bajo,59.8532531027085,0.937218644289365,-33.49204,11.541738,-19.474401,7.0722623,-14.345586,3.5147715,-11.414637,2.4823186,1
3008,Muy bajo,58.7357270060101,0.919719740904642,-34.041195,9.248242,-20.158459,6.048853,-14.554769,4.3634734,-11.691463,3.1380541,1
3009,Muy bajo,58.8193122984084,0.921028570255816,-30.249168,10.17884,-17.676222,6.3907914,-13.042563,3.0013602,-10.398636,2.0435667,1
4001,Bajo,55.3812819245503,0.867193799395765,-2.2571712,17.30998,-2.40845,8.802315,-4.423957,-5.120039,-3.5972683,-3.8832054,1
4002,Muy bajo,58.6407010357592,0.91823176646058,-24.447527,14.382466,-14.643681,8.409915,-12.046902,0.7581329,-9.588729,0.39250994,1
4003,Muy bajo,58.0950832846142,0.909688151827791,-25.398853,17.633762,-16.146894,9.774415,-13.746494,0.67006606,-11.011287,0.38100454,1
4004,Bajo,54.8325989080778,0.858602186973956,-4.1261573,11.891345,-2.6090136,5.6876364,-3.3730383,-2.393712,-2.658496,-1.990457,4
4005,Bajo,55.6860046589221,0.871965333325626,-2.6672475,17.103119,-2.8484628,8.427085,-4.794611,-4.3495083,-4.19014,-2.5757105,1
4006,Medio,53.6026514197597,0.839342921056186,2.9902625,-2.5169005,3.2675114,-8.786895,1.1995155,-1.3182755,1.0979065,-1.209902,0
4007,Medio,52.7603020275498,0.826152901893314,12.607975,6.710786,10.632781,-8.172034,3.6430986,-5.8817415,2.871153,-4.9165587,0
4008,Bajo,55.1820078528213,0.864073444767297,-1.6896906,17.466269,-1.9896603,9.010424,-4.0661473,-5.499527,-3.1771886,-4.4065676,1
