Metrics,SOM,Cluster,Kmeans++,Kmeans
Calinski Harabasz model,565.5528540162197,427.05227200654906,689.2849294282306,689.2849294282305
Calinski Harabasz true,554.4978241663732,554.4978241663732,554.4978241663732,554.4978241663732
Fowlkes Mallows,0.4310399400187894,0.4855816013547365,0.5913084783462137,0.5913084783462137
