CVE_MUN,GM,IM,Perplexity 100 Component 1,Perplexity 100 Component 2,Perplexity 100 Component 3,Perplexity 200 Component 1,Perplexity 200 Component 2,Perplexity 200 Component 3,Perplexity 300 Component 1,Perplexity 300 Component 2,Perplexity 300 Component 3,Perplexity 400 Component 1,Perplexity 400 Component 2,Perplexity 400 Component 3
05020,Muy bajo,-1.34,-10.116159,3.442722,-2.521642,-8.36024,-0.3935051,-0.36875206,-6.952607,-0.31648365,0.16226257,-5.8974404,0.8357823,1.1588737
05028,Muy bajo,-1.678,-12.812533,3.1801867,-1.4175296,-9.9949665,0.68920976,-0.6591977,-8.17309,0.63939434,-0.047276106,-7.0384355,0.68469894,0.572602
05009,Bajo,-1.021,-6.512416,1.783552,-0.97088486,-5.294657,0.7397408,-0.4120859,-4.417333,0.98096097,0.08227944,-4.0805774,-0.1541334,-0.15504582
05024,Bajo,-0.972,-6.281638,4.2355304,-1.6422547,-5.9187775,-0.4651121,1.6451443,-4.622706,-0.25370583,0.85319966,-4.247701,-0.59423447,1.4427053
05032,Muy bajo,-1.61,-12.162969,3.798892,-1.4797014,-9.687668,0.3920013,-0.22182015,-7.84177,0.50417674,0.33150834,-6.7839627,0.48671263,0.8756833
05022,Muy bajo,-1.401,-10.559679,2.8272793,-1.671849,-8.535354,0.3289387,-0.65552604,-7.053762,0.3406293,0.00014054583,-6.101873,0.78732884,0.6364819
05006,Muy bajo,-1.484,-11.486699,2.5755908,-2.9066083,-9.1872835,-0.36874008,-1.2413869,-7.815336,-0.44835958,-0.09209774,-6.4750357,1.3443654,1.0655007
05031,Muy bajo,-1.76,-13.342028,3.2437825,-1.4528731,-10.353674,0.697788,-0.6823897,-8.451952,0.6878393,0.021030203,-7.2750463,0.6802638,0.61723554
05004,Bajo,-0.849,-6.2375264,0.5671675,-0.18487625,-4.708186,1.4379741,-1.0411654,-3.905521,1.6294879,-0.3694771,-3.643385,0.09718955,-0.87583745
05003,Muy bajo,-1.6,-11.944521,3.440794,-1.7242064,-9.520749,0.29849654,-0.4718528,-7.788709,0.3259288,0.12493174,-6.6910195,0.6832088,0.8284269
05036,Medio,-0.38,-1.6492065,-3.082204,0.7237785,-0.10487164,3.2154758,-0.98720837,-0.5317896,2.283469,-0.48933038,-0.9670115,-0.96146905,-1.8078601
05007,Bajo,-0.992,-8.00469,3.7172492,-2.4255497,-6.742509,-0.8921911,-0.013653109,-5.569867,-0.74133533,0.3067611,-4.730906,0.7487262,1.3069102
05038,Muy bajo,-1.261,-8.833252,3.9242113,-0.65716326,-7.4928875,0.4331347,0.52865237,-6.1635666,0.029874234,-0.21323586,-5.4483824,0.07438299,0.82131153
05011,Bajo,-0.624,-3.7250957,-4.304796,2.1677217,-1.5248275,4.2306285,-2.2470968,-2.0696437,3.1904325,-0.9460302,-2.363426,-0.5300024,-2.4358954
05023,Bajo,-0.757,-4.8390427,-4.533368,2.300123,-2.4229703,4.5159607,-2.5235777,-2.7580562,3.6655157,-0.9105476,-3.0479882,-0.44021612,-2.7492502
05014,Medio,-0.448,-1.8870343,-3.7111106,2.7027752,-0.9254591,2.8692195,-1.6115394,-0.6738133,3.3773925,-0.5076174,-1.281366,-0.78958714,-2.5530305
05019,Muy bajo,-1.427,-10.522499,3.278787,-1.9211946,-8.558206,0.064284824,-0.3985157,-7.0146217,0.1777126,0.25207096,-6.065433,0.66021705,0.90134925
05034,Bajo,-1.014,-6.0124946,-5.202836,2.4389234,-3.2415314,5.203002,-2.770108,-3.8079958,3.7839956,-0.94916165,-3.9723413,-0.13573834,-2.8117337
