CVE_MUN,GM,IM,Neighbors 8 Component 1,Neighbors 8 Component 2,Neighbors 10 Component 1,Neighbors 10 Component 2,Neighbors 12 Component 1,Neighbors 12 Component 2,Neighbors 14 Component 1,Neighbors 14 Component 2
01001,Muy bajo,-1.676,-5.590231957432574,-0.35018530997141145,-5.282879747927089,-0.6690521991676134,-5.13831171764962,-0.7993715876717463,-4.9446251097454645,-0.7945712120059333
01005,Muy bajo,-1.256,-4.224048942797226,0.537916332742696,-4.101452148215957,0.5466932860382776,-3.9766829234065164,0.47419028972891436,-3.8078121549828845,0.3430077452793723
01003,Bajo,-0.698,-2.36995841701009,-0.2807394552863787,-2.1541018672997696,-0.243049691743841,-1.98663574211507,-0.25834827978344005,-1.94609129947666,-0.2837668835324916
01007,Bajo,-1.045,-3.4931548706483206,-0.12089985203029448,-3.4261562350394725,0.056051195184323194,-3.2675749325019483,0.11302276825831913,-3.226472782643878,0.13567160749128632
01006,Muy bajo,-1.129,-3.8488962290393656,-0.369063313214268,-3.6087070051824597,-0.2830451785628048,-3.4475378005937003,-0.26632652662170236,-3.423254989927593,-0.19861689092936508
01002,Bajo,-0.565,-1.1513331391755022,1.9443234585522982,-1.0103051108804944,1.6865045302867354,-1.0257422333010284,1.5425177076810528,-1.0225617955719428,1.446172590434957
01011,Muy bajo,-1.156,-3.6943730110549295,0.6213064239902799,-3.6394548749751743,0.6841593944736591,-3.4941312341528343,0.6534124671244151,-3.45188966529731,0.6957203686370886
01009,Bajo,-0.595,-1.2068314173921044,1.3674565245911348,-1.1939342143189913,1.3568576997936026,-1.2050166537715443,1.1713763751886446,-1.2429321033402432,1.1566028419563317
01010,Bajo,-0.614,-2.2264481121867017,0.6846502815237462,-2.190498701529741,0.6600392700590022,-2.199336212954017,0.6188601145223802,-2.102207912842395,0.8720797857535867
01004,Bajo,-0.674,-1.4539821524333774,1.1040021376485292,-1.4323209666936536,1.2015728237085508,-1.4398880712447486,1.0841110939827352,-1.4308124548845722,1.0251084510368793
01008,Bajo,-0.735,-1.7694631227157485,1.2341585154111963,-1.7523269889805535,1.267975155035463,-1.80564292943025,1.0390752593898278,-1.8005557850588756,1.103621300752837
02004,Muy bajo,-1.708,-5.806476248574587,-0.40262926573956936,-5.5839960492758385,-0.6426117942267393,-5.485883488063723,-0.6501687737523761,-5.353922664334621,-0.6548198986028907
02002,Muy bajo,-1.648,-5.541778276953941,-0.34351021150728417,-5.329570954639173,-0.515829939861469,-5.202128330906651,-0.5402935278594464,-5.115214371406302,-0.4740093441697726
02001,Muy bajo,-1.323,-4.620095008602992,0.04410447683422597,-4.4734952569858315,-0.18983987574542405,-4.274670400759062,-0.31612083473632885,-4.238645653023442,-0.3095050923298911
