CVE_MUN,GM,IM,Perplexity 100 Component 1,Perplexity 100 Component 2,Perplexity 200 Component 1,Perplexity 200 Component 2,Perplexity 300 Component 1,Perplexity 300 Component 2,Perplexity 400 Component 1,Perplexity 400 Component 2
05026,Bajo,-0.819,-11.466538,-12.119437,-3.9236484,8.980421,-5.5111923,-3.8705657,-4.7594485,-2.8735507
05008,Bajo,-0.773,-11.062969,-10.386404,-4.611164,7.7822695,-5.726232,-2.8322372,-4.928538,-2.131079
05029,Muy bajo,-1.077,-12.151526,-11.301102,-4.637123,8.987248,-6.2262845,-3.6245542,-5.4011264,-2.6890256
05016,Bajo,-1.012,-11.074379,-10.672072,-4.1182427,8.367851,-5.6395955,-3.3561451,-4.912232,-2.525767
05005,Bajo,-0.647,-7.961891,-13.002317,-1.8353008,8.385417,-4.0440006,-3.971873,-3.560702,-3.0179808
05012,Bajo,-0.673,-8.396968,-14.006415,-1.8156159,9.127113,-4.2880273,-4.4496717,-3.792487,-3.3804398
05015,Bajo,-0.958,-11.757283,-12.0481825,-4.202966,9.0988455,-5.8994327,-3.812676,-5.108611,-2.8451846
05013,Bajo,-0.796,-13.680146,-12.24405,-5.2009287,9.81579,-6.3791223,-4.392511,-5.479496,-3.3115175
05001,Muy bajo,-1.184,-10.620917,-13.639866,-3.443324,9.5655155,-5.8177195,-4.044889,-5.150513,-3.0839415
06007,Muy bajo,-1.509,-29.975851,6.5828485,-17.710722,2.3442285,-12.3963,4.751094,-9.571112,3.5031624
06002,Muy bajo,-1.595,-31.53365,9.089074,-18.57296,1.2611625,-12.740588,3.6453824,-9.923287,3.032575
06010,Muy bajo,-1.801,-32.880524,9.033041,-19.434866,1.2788672,-13.3928995,3.9924152,-10.448951,3.3126497
06009,Bajo,-0.716,-16.710663,12.156007,-10.75553,-2.8763726,-6.7035494,5.0375695,-5.1916056,3.9290645
06005,Muy bajo,-1.285,-22.450708,5.155371,-13.983948,2.2397234,-10.333554,2.5727613,-8.199762,2.1611648
06001,Medio,-0.481,-7.6669374,11.851625,-6.2776012,-3.2185295,-4.02494,4.276151,-3.2482636,3.272334
06003,Bajo,-0.873,-18.175915,0.97356737,-10.081164,0.43081152,-7.2087426,2.4516685,-5.823178,1.7211629
06004,Bajo,-0.952,-19.639194,8.762427,-12.228506,0.5485283,-8.563299,3.184601,-6.7280965,2.5373518
06008,Bajo,-0.762,-10.977735,-11.955257,-3.7598667,8.815427,-5.414877,-3.7745206,-4.688473,-2.8183258
06006,Medio,-0.261,-0.13402273,-13.883013,2.596529,4.9749002,-0.47584412,-3.7048714,-0.64172554,-2.9678462
07101,Muy bajo,-1.29,-26.606535,11.694882,-16.4034,-0.7702141,-11.016977,5.0997467,-8.597471,4.179426
07089,Bajo,-0.577,-12.261938,12.32342,-8.573869,-2.6454234,-5.332235,4.4678907,-4.193277,3.4772477
07059,Muy alto,1.417,21.322351,-3.6311738,14.304249,-7.4961677,11.753793,0.0043511423,9.402738,-2.5576363
07078,Bajo,-0.729,-14.163302,12.260701,-9.907294,-2.2189157,-6.4472313,4.391585,-5.114734,3.5091321
07019,Medio,-0.235,-6.064474,10.557737,-4.6008573,-3.2606316,-2.858699,4.108228,-2.2035863,3.2180834
07031,Muy alto,2.238,25.942518,-6.6284146,14.5432625,-6.330329,11.890014,-0.8543649,9.406113,-3.1441844
07052,Muy alto,1.393,23.777288,0.067021474,9.952508,-9.202548,10.758299,-5.015804,8.516267,-0.4310186
07065,Alto,0.475,1.1570823,11.316336,0.5126249,-4.1742864,4.6011114,0.7582016,3.6875784,-0.66515845
07108,Alto,0.205,-0.7652292,12.229583,-0.3527832,-4.119293,4.005524,0.3528385,3.244744,-0.63521725
07027,Medio,-0.198,-5.6840835,12.399276,-4.8725395,-3.7776406,-2.6512105,4.2593064,-1.9754475,3.040042
07061,Alto,0.379,0.19479279,14.091007,0.115264274,-5.0743003,4.738314,0.5999275,4.052289,-0.5679427
07097,Medio,-0.028,-4.8752885,10.276657,-3.1793644,-3.6768577,-1.8019325,3.765893,-1.0394177,2.7652142
07023,Muy alto,1.993,26.329369,-3.9258726,12.207021,-7.3653946,11.349773,-2.9015427,8.713671,-2.524407
07017,Medio,0.004,-3.3280005,10.6865635,-2.9279168,-3.7139385,-1.4838381,3.8477452,-0.9737663,2.7783992
07107,Alto,0.772,3.474162,12.782979,1.8294522,-5.1332736,6.0533185,0.406598,5.3447695,-1.1850433
07096,Muy alto,1.589,23.873486,-7.033584,12.849167,-6.1141086,11.088129,-1.7693383,8.404204,-3.1155164
07099,Alto,0.681,20.22305,5.1721454,5.972919,-7.434958,7.88342,-5.756426,6.143668,0.016179238
07034,Alto,0.336,0.031098925,9.662044,2.5382767,-3.8588142,4.063796,-1.3268763,3.6689556,-1.4289845
07057,Alto,0.258,0.39410767,12.662658,0.9623535,-3.5268204,4.645043,0.055882778,3.727137,-1.4769179
