CVE_MUN,GM,IM,Perplexity 100 Component 1,Perplexity 100 Component 2,Perplexity 200 Component 1,Perplexity 200 Component 2,Perplexity 300 Component 1,Perplexity 300 Component 2,Perplexity 400 Component 1,Perplexity 400 Component 2
08013,Bajo,-0.969,-15.517834,6.6413794,-9.750387,1.0680039,-7.1221685,2.1432955,-5.746697,1.5661471
08008,Muy alto,5.027,17.12612,1.6807069,16.937935,3.6747105,10.517844,4.1621857,8.414436,4.0142303
08035,Bajo,-0.89,-9.73997,-14.188782,-2.6505358,9.535009,-5.0146456,-4.4328732,-4.4200745,-3.35173
08060,Muy bajo,-1.529,-30.30058,7.305232,-17.779955,2.0281363,-12.457598,3.329309,-9.723716,2.776949
08012,Muy alto,3.957,17.21671,1.4296328,16.874756,3.541111,10.553445,4.0562654,8.463042,3.9264388
08025,Muy bajo,-1.127,-16.935188,6.2571154,-10.5183,1.5809352,-7.8526397,2.0281727,-6.404477,1.5320374
08003,Bajo,-0.954,-10.415959,-13.879419,-3.0304892,9.521288,-5.2971787,-4.266015,-4.6642528,-3.221223
08054,Bajo,-0.918,-8.996521,-17.854805,-1.4131335,11.244726,-4.8420315,-5.9946356,-4.419393,-4.6546464
08046,Muy alto,2.053,17.211641,0.3349779,16.372112,2.9451456,10.632567,3.4546423,8.615082,3.484685
08051,Medio,-0.205,-9.276743,-4.203514,-4.0285087,4.729155,-4.925664,-7.051865,-4.34081,-5.52042
08020,Alto,0.686,16.227654,-1.5637616,14.698524,2.2265685,10.196088,2.4603763,8.823261,2.5501955
08030,Alto,0.924,17.821161,-0.73752856,15.980434,2.1193037,10.866146,2.7588267,8.998434,2.81739
08034,Bajo,-0.834,-6.7429595,-15.309682,-0.6200369,9.356805,-3.6457233,-4.9020185,-3.334449,-3.8459067
08063,Alto,0.625,17.139818,-1.5369843,15.354905,1.9123368,10.693652,2.4015384,9.023727,2.6391563
08006,Bajo,-0.8,-7.854046,-17.121332,-0.84938955,10.506966,-4.159382,-5.6482735,-3.7834358,-4.38881
08066,Muy alto,1.521,18.140804,-0.59033847,16.057787,2.0945032,10.930563,2.6770139,9.028912,2.5949032
08023,Bajo,-0.63,-9.5496855,-11.431965,-2.677373,7.8756976,-4.4992814,-3.5134654,-3.9284549,-2.6654668
08053,Bajo,-0.637,-5.025171,-14.6826935,-0.20951612,8.267203,-3.006183,-4.161395,-2.7363832,-3.1976378
08028,Bajo,-0.857,-8.686772,-14.260629,-2.087946,9.15717,-4.4816165,-4.273309,-3.9651957,-3.247303
08067,Bajo,-0.75,-9.096356,-16.93201,-1.6255455,10.694204,-4.715535,-5.5098805,-4.2270665,-4.2334495
08047,Alto,0.191,6.3588285,-2.9626656,4.549681,8.832227,0.6754722,0.5233956,1.6179467,0.36804476
08059,Muy bajo,-1.088,-12.9297695,-13.485354,-4.5943136,9.988702,-6.553202,-4.1715198,-5.691726,-3.1287282
08018,Bajo,-0.706,-7.754121,-16.215195,-0.9138064,9.91849,-3.9505196,-5.2141037,-3.5624,-4.0354238
08038,Bajo,-0.785,-9.099388,-14.763724,-2.1006298,9.602357,-4.6300054,-4.661211,-4.0935717,-3.538611
08044,Bajo,-0.759,-8.218413,-13.607708,-2.0276988,8.714628,-4.3229675,-4.028026,-3.8186514,-3.053339
08024,Bajo,-0.822,-8.246154,-15.349272,-1.5089332,9.740033,-4.3342633,-4.906091,-3.890249,-3.7702272
08039,Bajo,-0.782,-8.346602,-14.38337,-1.7811029,9.171333,-4.290074,-4.410654,-3.806205,-3.3542013
