CVE_MUN,GM,IM,SOM labels
01001,Muy bajo,-1.676,1
01005,Muy bajo,-1.256,1
01003,Bajo,-0.698,1
01007,Bajo,-1.045,1
01006,Muy bajo,-1.129,1
01002,Bajo,-0.565,0
01011,Muy bajo,-1.156,1
01009,Bajo,-0.595,0
01010,Bajo,-0.614,0
01004,Bajo,-0.674,0
01008,Bajo,-0.735,0
02004,Muy bajo,-1.708,1
02002,Muy bajo,-1.648,1
02001,Muy bajo,-1.323,1
02003,Muy bajo,-1.408,1
02005,Muy bajo,-1.463,1
03008,Muy bajo,-1.296,1
03003,Muy bajo,-1.658,1
03001,Bajo,-1.017,1
03002,Bajo,-1.051,1
03009,Muy bajo,-1.345,1
04002,Muy bajo,-1.281,1
04003,Muy bajo,-1.186,1
04004,Medio,-0.159,1
04009,Medio,-0.174,1
04001,Medio,-0.248,1
04011,Alto,0.769,2
04006,Alto,0.361,2
04005,Medio,-0.291,1
04010,Alto,0.706,2
04008,Medio,-0.133,1
04007,Alto,0.164,0
05030,Muy bajo,-1.823,1
05035,Muy bajo,-1.722,1
05018,Muy bajo,-1.836,1
05025,Muy bajo,-1.531,1
05002,Muy bajo,-1.353,1
05017,Muy bajo,-1.098,1
05033,Bajo,-0.823,1
05027,Muy bajo,-1.73,1
05010,Muy bajo,-1.663,1
05020,Muy bajo,-1.34,1
05028,Muy bajo,-1.678,1
05009,Bajo,-1.021,1
05024,Bajo,-0.972,1
05032,Muy bajo,-1.61,1
05022,Muy bajo,-1.401,1
05006,Muy bajo,-1.484,1
05031,Muy bajo,-1.76,1
05004,Bajo,-0.849,1
05003,Muy bajo,-1.6,1
05036,Medio,-0.38,0
05007,Bajo,-0.992,1
05038,Muy bajo,-1.261,1
05011,Bajo,-0.624,0
05023,Bajo,-0.757,0
05014,Medio,-0.448,0
05019,Muy bajo,-1.427,1
05034,Bajo,-1.014,0
05021,Muy bajo,-1.106,0
05037,Muy bajo,-1.186,1
05026,Bajo,-0.819,0
05008,Bajo,-0.773,0
05029,Muy bajo,-1.077,0
05016,Bajo,-1.012,0
05005,Bajo,-0.647,0
05012,Bajo,-0.673,0
05015,Bajo,-0.958,0
05013,Bajo,-0.796,0
05001,Muy bajo,-1.184,0
06007,Muy bajo,-1.509,1
06002,Muy bajo,-1.595,1
06010,Muy bajo,-1.801,1
06009,Bajo,-0.716,1
06005,Muy bajo,-1.285,1
