CVE_MUN,GM,IM,Cluster labels
01001,Muy bajo,-1.676,3
01005,Muy bajo,-1.256,3
01003,Bajo,-0.698,3
01007,Bajo,-1.045,3
01006,Muy bajo,-1.129,3
01002,Bajo,-0.565,2
01011,Muy bajo,-1.156,3
01009,Bajo,-0.595,2
01010,Bajo,-0.614,3
01004,Bajo,-0.674,2
01008,Bajo,-0.735,2
02004,Muy bajo,-1.708,3
02002,Muy bajo,-1.648,3
02001,Muy bajo,-1.323,3
02003,Muy bajo,-1.408,3
02005,Muy bajo,-1.463,3
03008,Muy bajo,-1.296,3
03003,Muy bajo,-1.658,3
03001,Bajo,-1.017,3
03002,Bajo,-1.051,3
03009,Muy bajo,-1.345,3
04002,Muy bajo,-1.281,3
04003,Muy bajo,-1.186,3
04004,Medio,-0.159,4
04009,Medio,-0.174,0
04001,Medio,-0.248,4
04011,Alto,0.769,0
04006,Alto,0.361,1
04005,Medio,-0.291,4
04010,Alto,0.706,1
04008,Medio,-0.133,4
04007,Alto,0.164,0
05030,Muy bajo,-1.823,3
05035,Muy bajo,-1.722,3
05018,Muy bajo,-1.836,3
05025,Muy bajo,-1.531,3
05002,Muy bajo,-1.353,3
05017,Muy bajo,-1.098,3
05033,Bajo,-0.823,3
05027,Muy bajo,-1.73,3
05010,Muy bajo,-1.663,3
05020,Muy bajo,-1.34,3
05028,Muy bajo,-1.678,3
05009,Bajo,-1.021,3
05024,Bajo,-0.972,3
05032,Muy bajo,-1.61,3
05022,Muy bajo,-1.401,3
05006,Muy bajo,-1.484,3
05031,Muy bajo,-1.76,3
05004,Bajo,-0.849,3
05003,Muy bajo,-1.6,3
05036,Medio,-0.38,2
05007,Bajo,-0.992,3
05038,Muy bajo,-1.261,3
05011,Bajo,-0.624,3
05023,Bajo,-0.757,3
05014,Medio,-0.448,2
05019,Muy bajo,-1.427,3
05034,Bajo,-1.014,3
05021,Muy bajo,-1.106,3
05037,Muy bajo,-1.186,3
05026,Bajo,-0.819,3
05008,Bajo,-0.773,3
05029,Muy bajo,-1.077,3
05016,Bajo,-1.012,3
05005,Bajo,-0.647,3
05012,Bajo,-0.673,3
05015,Bajo,-0.958,3
05013,Bajo,-0.796,3
05001,Muy bajo,-1.184,3
06007,Muy bajo,-1.509,3
06002,Muy bajo,-1.595,3
06010,Muy bajo,-1.801,3
06009,Bajo,-0.716,3
06005,Muy bajo,-1.285,3
06001,Medio,-0.481,3
06003,Bajo,-0.873,3
06004,Bajo,-0.952,3
06008,Bajo,-0.762,3
06006,Medio,-0.261,2
07101,Muy bajo,-1.29,3
07089,Bajo,-0.577,3
07059,Muy alto,1.417,1
07078,Bajo,-0.729,4
07019,Medio,-0.235,4
07031,Muy alto,2.238,1
07052,Muy alto,1.393,1
07065,Alto,0.475,1
07108,Alto,0.205,0
07027,Medio,-0.198,4
07061,Alto,0.379,0
07097,Medio,-0.028,4
07023,Muy alto,1.993,1
07017,Medio,0.004,4
07107,Alto,0.772,0
07096,Muy alto,1.589,1
07099,Alto,0.681,0
07034,Alto,0.336,0
07057,Alto,0.258,0
07106,Alto,0.851,0
07077,Muy alto,1.484,1
07040,Alto,0.141,0
07069,Alto,0.51,0
07012,Alto,0.152,0
07064,Muy alto,2.078,1
07051,Alto,0.249,0
07020,Alto,1.063,1
07015,Alto,0.092,0
07074,Bajo,-0.901,3
07041,Alto,0.515,0
07081,Muy alto,1.564,1
07093,Muy alto,1.266,1
07094,Alto,1.097,0
07102,Alto,0.298,0
07092,Alto,0.788,1
07111,Muy alto,1.692,1
07009,Medio,-0.27,4
07026,Muy alto,1.958,1
07079,Alto,0.22,1
07046,Alto,0.28,0
07087,Alto,0.581,0
07109,Muy alto,1.347,1
07080,Alto,0.992,1
07037,Alto,0.513,0
07013,Alto,0.658,0
07112,Muy alto,2.6,1
07030,Alto,0.789,1
07100,Muy alto,1.557,1
07004,Muy alto,1.412,1
07072,Alto,0.849,1
07032,Alto,0.314,0
07103,Alto,0.616,1
07002,Alto,0.276,0
07068,Alto,0.123,0
07006,Alto,0.508,1
07054,Alto,0.822,0
07071,Alto,0.73,0
07003,Alto,0.739,0
07075,Muy alto,1.394,0
07008,Alto,0.72,0
07044,Alto,0.483,0
07076,Muy alto,1.872,1
07086,Medio,0.026,0
07049,Alto,1.206,1
07038,Alto,1.024,1
07039,Muy alto,1.249,1
07014,Muy alto,1.261,1
07066,Muy alto,2.479,1
07021,Alto,0.403,0
07048,Medio,0.012,0
07047,Alto,0.776,1
07114,Alto,0.926,1
07011,Alto,0.644,1
07005,Muy alto,1.398,1
07083,Alto,0.862,1
07062,Alto,0.72,1
07001,Alto,0.237,0
07016,Alto,0.578,1
07022,Muy alto,2.853,1
07105,Alto,0.416,2
07104,Alto,0.535,0
07035,Alto,0.579,0
07070,Alto,0.484,1
07082,Muy alto,3.947,1
07115,Muy alto,1.689,1
07091,Medio,-0.018,0
07060,Muy alto,1.846,1
07024,Muy alto,1.475,0
07067,Muy alto,1.302,1
07056,Muy alto,2.121,1
07116,Alto,1.182,0
07042,Alto,0.49,2
07043,Alto,0.596,1
07085,Alto,0.292,1
07007,Muy alto,2.191,1
07073,Alto,0.509,0
07018,Alto,0.746,1
07084,Alto,0.863,1
07053,Alto,0.348,2
07117,Alto,1.01,1
07025,Alto,0.343,1
07010,Alto,1.08,1
07033,Alto,1.11,1
07098,Muy alto,1.435,1
07110,Muy alto,1.31,1
07036,Alto,0.482,1
07113,Alto,1.173,1
07028,Alto,1.005,1
07055,Medio,0.002,2
07045,Alto,0.845,1
07118,Muy alto,1.336,1
07029,Medio,-0.022,2
07050,Alto,0.323,0
07058,Muy alto,1.259,1
07090,Alto,0.444,1
07119,Muy alto,1.566,1
07063,Medio,0.019,2
07088,Alto,0.636,1
08037,Muy bajo,-1.522,3
08019,Muy bajo,-1.909,3
08017,Muy bajo,-1.472,3
08021,Muy bajo,-1.587,3
08032,Muy bajo,-1.587,3
08050,Muy bajo,-1.57,3
08029,Muy alto,2.217,0
08011,Muy bajo,-1.402,3
08027,Muy alto,2.36,0
08045,Muy bajo,-1.24,3
08036,Muy bajo,-1.37,3
08031,Bajo,-0.513,3
08062,Muy bajo,-1.227,3
08040,Bajo,-0.833,3
08052,Muy bajo,-1.513,3
08009,Alto,0.838,0
08005,Bajo,-0.957,3
08002,Muy bajo,-1.495,3
08010,Bajo,-0.717,3
08048,Bajo,-0.938,3
08065,Muy alto,3.264,0
08055,Bajo,-0.962,3
08007,Muy alto,2.369,0
08004,Muy bajo,-1.467,3
08001,Muy bajo,-1.164,3
08013,Bajo,-0.969,3
08008,Muy alto,5.027,1
08035,Bajo,-0.89,3
08060,Muy bajo,-1.529,3
08012,Muy alto,3.957,0
08025,Muy bajo,-1.127,3
08003,Bajo,-0.954,3
08054,Bajo,-0.918,3
08046,Muy alto,2.053,0
08051,Medio,-0.205,2
08020,Alto,0.686,0
08030,Alto,0.924,0
08034,Bajo,-0.834,2
08063,Alto,0.625,0
08006,Bajo,-0.8,2
08066,Muy alto,1.521,0
08023,Bajo,-0.63,2
08053,Bajo,-0.637,2
08028,Bajo,-0.857,3
08067,Bajo,-0.75,2
08047,Alto,0.191,2
08059,Muy bajo,-1.088,3
08018,Bajo,-0.706,3
08038,Bajo,-0.785,3
08044,Bajo,-0.759,3
08024,Bajo,-0.822,3
08039,Bajo,-0.782,3
08016,Bajo,-1.007,3
08061,Bajo,-0.737,2
08043,Bajo,-0.649,2
08049,Alto,0.096,1
08022,Medio,-0.492,2
08058,Muy bajo,-1.157,3
08026,Bajo,-0.616,2
08057,Medio,-0.378,2
08014,Bajo,-0.821,3
08056,Medio,-0.236,2
08064,Medio,-0.132,2
08015,Bajo,-0.603,2
08041,Muy alto,1.639,0
08042,Bajo,-0.637,2
08033,Medio,-0.307,2
09007,Muy bajo,-1.627,3
09005,Muy bajo,-1.728,3
09010,Muy bajo,-1.779,3
09012,Muy bajo,-1.738,3
09003,Muy bajo,-1.994,3
09015,Muy bajo,-1.951,3
09017,Muy bajo,-1.811,3
09014,Muy bajo,-2.228,3
09013,Muy bajo,-1.527,3
09002,Muy bajo,-1.871,3
09006,Muy bajo,-1.885,3
09016,Muy bajo,-2.131,3
09011,Muy bajo,-1.537,3
09008,Muy bajo,-1.657,3
09004,Muy bajo,-1.822,3
09009,Bajo,-1.029,3
10005,Muy bajo,-1.585,3
10007,Muy bajo,-1.488,3
10012,Muy bajo,-1.215,3
10023,Alto,0.106,0
10032,Bajo,-0.676,3
10014,Muy alto,4.845,0
10004,Bajo,-0.728,3
10008,Bajo,-1.018,3
10001,Bajo,-0.822,3
10039,Bajo,-1.001,3
10034,Muy alto,1.624,1
10013,Bajo,-0.746,3
10022,Bajo,-0.846,3
10036,Bajo,-0.791,3
10038,Muy bajo,-1.117,3
10016,Bajo,-0.731,3
10026,Medio,-0.26,2
10024,Bajo,-0.521,2
10015,Medio,-0.404,2
10028,Bajo,-0.564,3
10020,Bajo,-0.761,3
10018,Muy bajo,-1.093,3
10035,Alto,0.144,1
10021,Bajo,-0.703,3
10006,Medio,-0.113,2
10009,Alto,0.233,1
10017,Bajo,-0.561,3
10037,Alto,0.321,1
10031,Medio,-0.43,2
10033,Medio,-0.218,2
10027,Alto,0.126,0
10019,Alto,0.956,1
10011,Medio,-0.444,2
10002,Alto,0.45,1
10003,Medio,-0.419,2
10010,Bajo,-0.689,3
10025,Medio,-0.103,1
10029,Medio,-0.482,3
10030,Bajo,-0.503,2
11020,Muy bajo,-1.494,3
11017,Muy bajo,-1.276,3
