CVE_MUN,GM,IM,k-means++,random
01001,Muy bajo,-1.676,3,0
01005,Muy bajo,-1.256,3,0
01003,Bajo,-0.698,1,4
01007,Bajo,-1.045,3,0
01006,Muy bajo,-1.129,3,0
01002,Bajo,-0.565,1,4
01011,Muy bajo,-1.156,3,0
01009,Bajo,-0.595,1,4
01010,Bajo,-0.614,1,4
01004,Bajo,-0.674,1,4
01008,Bajo,-0.735,1,4
02004,Muy bajo,-1.708,3,0
02002,Muy bajo,-1.648,3,0
02001,Muy bajo,-1.323,3,0
02003,Muy bajo,-1.408,3,0
02005,Muy bajo,-1.463,3,0
03008,Muy bajo,-1.296,3,0
03003,Muy bajo,-1.658,3,0
03001,Bajo,-1.017,3,0
03002,Bajo,-1.051,3,0
03009,Muy bajo,-1.345,3,0
04002,Muy bajo,-1.281,3,0
04003,Muy bajo,-1.186,3,0
04004,Medio,-0.159,4,2
04009,Medio,-0.174,4,2
04001,Medio,-0.248,4,2
04011,Alto,0.769,4,2
04006,Alto,0.361,4,2
04005,Medio,-0.291,4,2
04010,Alto,0.706,4,2
04008,Medio,-0.133,4,2
04007,Alto,0.164,4,2
05030,Muy bajo,-1.823,3,0
05035,Muy bajo,-1.722,3,0
05018,Muy bajo,-1.836,3,0
05025,Muy bajo,-1.531,3,0
05002,Muy bajo,-1.353,3,0
05017,Muy bajo,-1.098,3,0
05033,Bajo,-0.823,3,0
05027,Muy bajo,-1.73,3,0
05010,Muy bajo,-1.663,3,0
05020,Muy bajo,-1.34,3,0
05028,Muy bajo,-1.678,3,0
05009,Bajo,-1.021,3,0
05024,Bajo,-0.972,3,0
05032,Muy bajo,-1.61,3,0
05022,Muy bajo,-1.401,3,0
05006,Muy bajo,-1.484,3,0
05031,Muy bajo,-1.76,3,0
05004,Bajo,-0.849,1,4
05003,Muy bajo,-1.6,3,0
05036,Medio,-0.38,1,4
05007,Bajo,-0.992,3,0
05038,Muy bajo,-1.261,3,0
05011,Bajo,-0.624,1,4
05023,Bajo,-0.757,1,4
05014,Medio,-0.448,1,4
05019,Muy bajo,-1.427,3,0
05034,Bajo,-1.014,1,4
05021,Muy bajo,-1.106,1,4
05037,Muy bajo,-1.186,3,0
05026,Bajo,-0.819,1,4
05008,Bajo,-0.773,1,4
05029,Muy bajo,-1.077,1,4
05016,Bajo,-1.012,1,4
05005,Bajo,-0.647,1,4
05012,Bajo,-0.673,1,4
05015,Bajo,-0.958,1,4
05013,Bajo,-0.796,1,4
05001,Muy bajo,-1.184,1,4
06007,Muy bajo,-1.509,3,0
06002,Muy bajo,-1.595,3,0
06010,Muy bajo,-1.801,3,0
06009,Bajo,-0.716,3,0
06005,Muy bajo,-1.285,3,0
06001,Medio,-0.481,3,0
06003,Bajo,-0.873,3,0
06004,Bajo,-0.952,3,0
06008,Bajo,-0.762,1,4
06006,Medio,-0.261,1,4
07101,Muy bajo,-1.29,3,0
07089,Bajo,-0.577,3,0
07059,Muy alto,1.417,0,3
07078,Bajo,-0.729,3,0
07019,Medio,-0.235,4,2
07031,Muy alto,2.238,0,3
07052,Muy alto,1.393,0,3
07065,Alto,0.475,4,2
07108,Alto,0.205,4,2
07027,Medio,-0.198,4,2
07061,Alto,0.379,4,2
07097,Medio,-0.028,4,2
07023,Muy alto,1.993,0,3
07017,Medio,0.004,4,2
07107,Alto,0.772,4,2
07096,Muy alto,1.589,0,3
07099,Alto,0.681,4,2
07034,Alto,0.336,4,2
07057,Alto,0.258,4,2
07106,Alto,0.851,4,2
07077,Muy alto,1.484,0,3
07040,Alto,0.141,4,2
07069,Alto,0.51,4,2
07012,Alto,0.152,4,2
07064,Muy alto,2.078,0,3
07051,Alto,0.249,4,2
07020,Alto,1.063,0,3
07015,Alto,0.092,4,2
07074,Bajo,-0.901,3,0
07041,Alto,0.515,4,2
07081,Muy alto,1.564,0,3
07093,Muy alto,1.266,0,3
07094,Alto,1.097,0,3
07102,Alto,0.298,4,2
07092,Alto,0.788,4,2
07111,Muy alto,1.692,0,3
07009,Medio,-0.27,4,2
07026,Muy alto,1.958,0,3
07079,Alto,0.22,4,2
07046,Alto,0.28,4,2
07087,Alto,0.581,4,2
07109,Muy alto,1.347,0,3
07080,Alto,0.992,4,2
07037,Alto,0.513,4,2
07013,Alto,0.658,4,2
07112,Muy alto,2.6,0,3
07030,Alto,0.789,4,2
07100,Muy alto,1.557,0,3
07004,Muy alto,1.412,0,3
07072,Alto,0.849,0,3
07032,Alto,0.314,4,2
07103,Alto,0.616,4,2
07002,Alto,0.276,4,2
07068,Alto,0.123,4,2
07006,Alto,0.508,4,2
07054,Alto,0.822,4,2
07071,Alto,0.73,4,2
07003,Alto,0.739,4,2
07075,Muy alto,1.394,0,3
07008,Alto,0.72,4,2
07044,Alto,0.483,4,2
07076,Muy alto,1.872,0,3
07086,Medio,0.026,4,2
07049,Alto,1.206,0,3
07038,Alto,1.024,0,3
07039,Muy alto,1.249,0,3
07014,Muy alto,1.261,0,3
07066,Muy alto,2.479,0,3
07021,Alto,0.403,4,2
07048,Medio,0.012,4,2
07047,Alto,0.776,4,2
07114,Alto,0.926,0,3
07011,Alto,0.644,4,2
07005,Muy alto,1.398,0,3
07083,Alto,0.862,4,2
07062,Alto,0.72,4,2
07001,Alto,0.237,4,2
07016,Alto,0.578,4,2
07022,Muy alto,2.853,0,3
07105,Alto,0.416,4,2
07104,Alto,0.535,4,2
07035,Alto,0.579,4,2
07070,Alto,0.484,4,2
07082,Muy alto,3.947,2,1
07115,Muy alto,1.689,0,3
07091,Medio,-0.018,4,2
07060,Muy alto,1.846,0,3
07024,Muy alto,1.475,0,3
07067,Muy alto,1.302,0,3
07056,Muy alto,2.121,0,3
07116,Alto,1.182,0,3
07042,Alto,0.49,4,2
07043,Alto,0.596,4,2
07085,Alto,0.292,4,2
07007,Muy alto,2.191,0,3
07073,Alto,0.509,4,2
07018,Alto,0.746,4,2
07084,Alto,0.863,4,2
07053,Alto,0.348,4,2
07117,Alto,1.01,0,3
07025,Alto,0.343,4,2
07010,Alto,1.08,0,3
07033,Alto,1.11,0,3
07098,Muy alto,1.435,0,3
07110,Muy alto,1.31,0,3
07036,Alto,0.482,4,2
07113,Alto,1.173,0,3
07028,Alto,1.005,0,3
07055,Medio,0.002,4,2
07045,Alto,0.845,4,2
07118,Muy alto,1.336,0,3
07029,Medio,-0.022,4,2
07050,Alto,0.323,4,2
07058,Muy alto,1.259,0,3
07090,Alto,0.444,4,2
07119,Muy alto,1.566,0,3
07063,Medio,0.019,4,2
07088,Alto,0.636,4,2
08037,Muy bajo,-1.522,3,0
08019,Muy bajo,-1.909,3,0
08017,Muy bajo,-1.472,3,0
08021,Muy bajo,-1.587,3,0
08032,Muy bajo,-1.587,3,0
08050,Muy bajo,-1.57,3,0
08029,Muy alto,2.217,2,1
08011,Muy bajo,-1.402,3,0
08027,Muy alto,2.36,2,1
08045,Muy bajo,-1.24,3,0
08036,Muy bajo,-1.37,3,0
08031,Bajo,-0.513,1,4
08062,Muy bajo,-1.227,3,0
08040,Bajo,-0.833,3,0
08052,Muy bajo,-1.513,3,0
08009,Alto,0.838,2,1
08005,Bajo,-0.957,3,0
08002,Muy bajo,-1.495,3,0
08010,Bajo,-0.717,3,0
08048,Bajo,-0.938,1,4
08065,Muy alto,3.264,2,1
08055,Bajo,-0.962,1,4
08007,Muy alto,2.369,2,1
08004,Muy bajo,-1.467,3,0
08001,Muy bajo,-1.164,3,0
08013,Bajo,-0.969,3,0
08008,Muy alto,5.027,2,1
08035,Bajo,-0.89,1,4
08060,Muy bajo,-1.529,3,0
08012,Muy alto,3.957,2,1
08025,Muy bajo,-1.127,3,0
08003,Bajo,-0.954,1,4
08054,Bajo,-0.918,1,4
08046,Muy alto,2.053,2,1
08051,Medio,-0.205,1,4
08020,Alto,0.686,4,2
08030,Alto,0.924,2,1
08034,Bajo,-0.834,1,4
08063,Alto,0.625,4,2
08006,Bajo,-0.8,1,4
08066,Muy alto,1.521,2,1
08023,Bajo,-0.63,1,4
08053,Bajo,-0.637,1,4
08028,Bajo,-0.857,1,4
08067,Bajo,-0.75,1,4
08047,Alto,0.191,1,4
08059,Muy bajo,-1.088,1,4
08018,Bajo,-0.706,1,4
08038,Bajo,-0.785,1,4
08044,Bajo,-0.759,1,4
08024,Bajo,-0.822,1,4
08039,Bajo,-0.782,1,4
08016,Bajo,-1.007,1,4
08061,Bajo,-0.737,1,4
08043,Bajo,-0.649,1,4
08049,Alto,0.096,1,4
08022,Medio,-0.492,1,4
08058,Muy bajo,-1.157,1,4
08026,Bajo,-0.616,1,4
08057,Medio,-0.378,1,4
08014,Bajo,-0.821,1,4
08056,Medio,-0.236,1,4
08064,Medio,-0.132,1,4
08015,Bajo,-0.603,1,4
08041,Muy alto,1.639,2,1
08042,Bajo,-0.637,1,4
08033,Medio,-0.307,1,4
09007,Muy bajo,-1.627,3,0
09005,Muy bajo,-1.728,3,0
09010,Muy bajo,-1.779,3,0
09012,Muy bajo,-1.738,3,0
09003,Muy bajo,-1.994,3,0
09015,Muy bajo,-1.951,3,0
09017,Muy bajo,-1.811,3,0
09014,Muy bajo,-2.228,3,0
09013,Muy bajo,-1.527,3,0
09002,Muy bajo,-1.871,3,0
09006,Muy bajo,-1.885,3,0
09016,Muy bajo,-2.131,3,0
09011,Muy bajo,-1.537,3,0
09008,Muy bajo,-1.657,3,0
09004,Muy bajo,-1.822,3,0
09009,Bajo,-1.029,3,0
10005,Muy bajo,-1.585,3,0
10007,Muy bajo,-1.488,3,0
10012,Muy bajo,-1.215,3,0
10023,Alto,0.106,4,2
10032,Bajo,-0.676,3,0
10014,Muy alto,4.845,2,1
10004,Bajo,-0.728,1,4
10008,Bajo,-1.018,3,0
10001,Bajo,-0.822,1,4
10039,Bajo,-1.001,1,4
10034,Muy alto,1.624,2,1
10013,Bajo,-0.746,3,0
10022,Bajo,-0.846,1,4
10036,Bajo,-0.791,1,4
10038,Muy bajo,-1.117,3,0
10016,Bajo,-0.731,1,4
10026,Medio,-0.26,1,4
10024,Bajo,-0.521,1,4
10015,Medio,-0.404,1,4
10028,Bajo,-0.564,1,4
10020,Bajo,-0.761,1,4
10018,Muy bajo,-1.093,3,0
10035,Alto,0.144,1,4
10021,Bajo,-0.703,1,4
10006,Medio,-0.113,1,4
10009,Alto,0.233,4,2
10017,Bajo,-0.561,1,4
10037,Alto,0.321,4,2
10031,Medio,-0.43,1,4
10033,Medio,-0.218,1,4
10027,Alto,0.126,4,2
10019,Alto,0.956,4,2
10011,Medio,-0.444,1,4
10002,Alto,0.45,4,2
10003,Medio,-0.419,1,4
10010,Bajo,-0.689,1,4
10025,Medio,-0.103,1,4
10029,Medio,-0.482,1,4
10030,Bajo,-0.503,1,4
11020,Muy bajo,-1.494,3,0
11017,Muy bajo,-1.276,3,0
