CVE_MUN,GM,IM,k-means++
01001,Muy bajo,-1.676,3
01005,Muy bajo,-1.256,3
01003,Bajo,-0.698,1
01007,Bajo,-1.045,3
01006,Muy bajo,-1.129,3
01002,Bajo,-0.565,1
01011,Muy bajo,-1.156,3
01009,Bajo,-0.595,1
01010,Bajo,-0.614,1
01004,Bajo,-0.674,1
01008,Bajo,-0.735,1
02004,Muy bajo,-1.708,3
02002,Muy bajo,-1.648,3
02001,Muy bajo,-1.323,3
02003,Muy bajo,-1.408,3
02005,Muy bajo,-1.463,3
03008,Muy bajo,-1.296,3
03003,Muy bajo,-1.658,3
03001,Bajo,-1.017,3
03002,Bajo,-1.051,3
03009,Muy bajo,-1.345,3
04002,Muy bajo,-1.281,3
04003,Muy bajo,-1.186,3
04004,Medio,-0.159,4
04009,Medio,-0.174,4
04001,Medio,-0.248,4
04011,Alto,0.769,4
04006,Alto,0.361,4
04005,Medio,-0.291,4
04010,Alto,0.706,4
04008,Medio,-0.133,4
04007,Alto,0.164,4
05030,Muy bajo,-1.823,3
05035,Muy bajo,-1.722,3
05018,Muy bajo,-1.836,3
05025,Muy bajo,-1.531,3
05002,Muy bajo,-1.353,3
05017,Muy bajo,-1.098,3
05033,Bajo,-0.823,3
05027,Muy bajo,-1.73,3
05010,Muy bajo,-1.663,3
05020,Muy bajo,-1.34,3
05028,Muy bajo,-1.678,3
05009,Bajo,-1.021,3
05024,Bajo,-0.972,3
05032,Muy bajo,-1.61,3
05022,Muy bajo,-1.401,3
05006,Muy bajo,-1.484,3
05031,Muy bajo,-1.76,3
05004,Bajo,-0.849,1
05003,Muy bajo,-1.6,3
05036,Medio,-0.38,1
05007,Bajo,-0.992,3
05038,Muy bajo,-1.261,3
05011,Bajo,-0.624,1
05023,Bajo,-0.757,1
05014,Medio,-0.448,1
05019,Muy bajo,-1.427,3
05034,Bajo,-1.014,1
05021,Muy bajo,-1.106,1
05037,Muy bajo,-1.186,3
05026,Bajo,-0.819,1
05008,Bajo,-0.773,1
05029,Muy bajo,-1.077,1
05016,Bajo,-1.012,1
05005,Bajo,-0.647,1
05012,Bajo,-0.673,1
05015,Bajo,-0.958,1
05013,Bajo,-0.796,1
05001,Muy bajo,-1.184,1
06007,Muy bajo,-1.509,3
06002,Muy bajo,-1.595,3
06010,Muy bajo,-1.801,3
06009,Bajo,-0.716,3
06005,Muy bajo,-1.285,3
06001,Medio,-0.481,3
06003,Bajo,-0.873,3
06004,Bajo,-0.952,3
06008,Bajo,-0.762,1
06006,Medio,-0.261,1
07101,Muy bajo,-1.29,3
07089,Bajo,-0.577,3
07059,Muy alto,1.417,0
07078,Bajo,-0.729,3
07019,Medio,-0.235,4
07031,Muy alto,2.238,0
07052,Muy alto,1.393,0
07065,Alto,0.475,4
07108,Alto,0.205,4
07027,Medio,-0.198,4
07061,Alto,0.379,4
07097,Medio,-0.028,4
07023,Muy alto,1.993,0
07017,Medio,0.004,4
07107,Alto,0.772,4
07096,Muy alto,1.589,0
07099,Alto,0.681,4
07034,Alto,0.336,4
07057,Alto,0.258,4
07106,Alto,0.851,4
07077,Muy alto,1.484,0
07040,Alto,0.141,4
07069,Alto,0.51,4
07012,Alto,0.152,4
07064,Muy alto,2.078,0
07051,Alto,0.249,4
07020,Alto,1.063,0
07015,Alto,0.092,4
07074,Bajo,-0.901,3
07041,Alto,0.515,4
07081,Muy alto,1.564,0
07093,Muy alto,1.266,0
07094,Alto,1.097,0
07102,Alto,0.298,4
07092,Alto,0.788,4
07111,Muy alto,1.692,0
07009,Medio,-0.27,4
07026,Muy alto,1.958,0
07079,Alto,0.22,4
07046,Alto,0.28,4
07087,Alto,0.581,4
07109,Muy alto,1.347,0
07080,Alto,0.992,4
07037,Alto,0.513,4
07013,Alto,0.658,4
07112,Muy alto,2.6,0
07030,Alto,0.789,4
07100,Muy alto,1.557,0
07004,Muy alto,1.412,0
07072,Alto,0.849,0
07032,Alto,0.314,4
07103,Alto,0.616,4
07002,Alto,0.276,4
07068,Alto,0.123,4
07006,Alto,0.508,4
07054,Alto,0.822,4
07071,Alto,0.73,4
07003,Alto,0.739,4
07075,Muy alto,1.394,0
07008,Alto,0.72,4
07044,Alto,0.483,4
07076,Muy alto,1.872,0
07086,Medio,0.026,4
07049,Alto,1.206,0
07038,Alto,1.024,0
07039,Muy alto,1.249,0
07014,Muy alto,1.261,0
07066,Muy alto,2.479,0
07021,Alto,0.403,4
07048,Medio,0.012,4
07047,Alto,0.776,4
07114,Alto,0.926,0
07011,Alto,0.644,4
07005,Muy alto,1.398,0
07083,Alto,0.862,4
07062,Alto,0.72,4
07001,Alto,0.237,4
07016,Alto,0.578,4
07022,Muy alto,2.853,0
07105,Alto,0.416,4
07104,Alto,0.535,4
07035,Alto,0.579,4
07070,Alto,0.484,4
07082,Muy alto,3.947,2
07115,Muy alto,1.689,0
07091,Medio,-0.018,4
07060,Muy alto,1.846,0
07024,Muy alto,1.475,0
07067,Muy alto,1.302,0
07056,Muy alto,2.121,0
07116,Alto,1.182,0
07042,Alto,0.49,4
07043,Alto,0.596,4
07085,Alto,0.292,4
07007,Muy alto,2.191,0
07073,Alto,0.509,4
07018,Alto,0.746,4
07084,Alto,0.863,4
07053,Alto,0.348,4
07117,Alto,1.01,0
07025,Alto,0.343,4
07010,Alto,1.08,0
07033,Alto,1.11,0
07098,Muy alto,1.435,0
07110,Muy alto,1.31,0
07036,Alto,0.482,4
07113,Alto,1.173,0
07028,Alto,1.005,0
07055,Medio,0.002,4
07045,Alto,0.845,4
07118,Muy alto,1.336,0
07029,Medio,-0.022,4
07050,Alto,0.323,4
07058,Muy alto,1.259,0
07090,Alto,0.444,4
07119,Muy alto,1.566,0
07063,Medio,0.019,4
07088,Alto,0.636,4
08037,Muy bajo,-1.522,3
08019,Muy bajo,-1.909,3
08017,Muy bajo,-1.472,3
08021,Muy bajo,-1.587,3
08032,Muy bajo,-1.587,3
08050,Muy bajo,-1.57,3
08029,Muy alto,2.217,2
08011,Muy bajo,-1.402,3
08027,Muy alto,2.36,2
08045,Muy bajo,-1.24,3
08036,Muy bajo,-1.37,3
08031,Bajo,-0.513,1
08062,Muy bajo,-1.227,3
08040,Bajo,-0.833,3
08052,Muy bajo,-1.513,3
08009,Alto,0.838,2
08005,Bajo,-0.957,3
08002,Muy bajo,-1.495,3
08010,Bajo,-0.717,3
08048,Bajo,-0.938,1
08065,Muy alto,3.264,2
08055,Bajo,-0.962,1
08007,Muy alto,2.369,2
08004,Muy bajo,-1.467,3
08001,Muy bajo,-1.164,3
08013,Bajo,-0.969,3
08008,Muy alto,5.027,2
08035,Bajo,-0.89,1
08060,Muy bajo,-1.529,3
08012,Muy alto,3.957,2
08025,Muy bajo,-1.127,3
08003,Bajo,-0.954,1
08054,Bajo,-0.918,1
08046,Muy alto,2.053,2
08051,Medio,-0.205,1
08020,Alto,0.686,4
08030,Alto,0.924,2
08034,Bajo,-0.834,1
08063,Alto,0.625,4
08006,Bajo,-0.8,1
08066,Muy alto,1.521,2
08023,Bajo,-0.63,1
08053,Bajo,-0.637,1
08028,Bajo,-0.857,1
08067,Bajo,-0.75,1
08047,Alto,0.191,1
08059,Muy bajo,-1.088,1
08018,Bajo,-0.706,1
08038,Bajo,-0.785,1
08044,Bajo,-0.759,1
08024,Bajo,-0.822,1
08039,Bajo,-0.782,1
08016,Bajo,-1.007,1
08061,Bajo,-0.737,1
08043,Bajo,-0.649,1
08049,Alto,0.096,1
08022,Medio,-0.492,1
08058,Muy bajo,-1.157,1
08026,Bajo,-0.616,1
08057,Medio,-0.378,1
08014,Bajo,-0.821,1
08056,Medio,-0.236,1
08064,Medio,-0.132,1
08015,Bajo,-0.603,1
08041,Muy alto,1.639,2
08042,Bajo,-0.637,1
08033,Medio,-0.307,1
09007,Muy bajo,-1.627,3
09005,Muy bajo,-1.728,3
09010,Muy bajo,-1.779,3
09012,Muy bajo,-1.738,3
09003,Muy bajo,-1.994,3
09015,Muy bajo,-1.951,3
09017,Muy bajo,-1.811,3
09014,Muy bajo,-2.228,3
09013,Muy bajo,-1.527,3
09002,Muy bajo,-1.871,3
09006,Muy bajo,-1.885,3
09016,Muy bajo,-2.131,3
09011,Muy bajo,-1.537,3
09008,Muy bajo,-1.657,3
09004,Muy bajo,-1.822,3
09009,Bajo,-1.029,3
10005,Muy bajo,-1.585,3
10007,Muy bajo,-1.488,3
10012,Muy bajo,-1.215,3
10023,Alto,0.106,4
10032,Bajo,-0.676,3
10014,Muy alto,4.845,2
10004,Bajo,-0.728,1
10008,Bajo,-1.018,3
10001,Bajo,-0.822,1
10039,Bajo,-1.001,1
10034,Muy alto,1.624,2
10013,Bajo,-0.746,3
10022,Bajo,-0.846,1
10036,Bajo,-0.791,1
10038,Muy bajo,-1.117,3
10016,Bajo,-0.731,1
10026,Medio,-0.26,1
10024,Bajo,-0.521,1
10015,Medio,-0.404,1
10028,Bajo,-0.564,1
10020,Bajo,-0.761,1
10018,Muy bajo,-1.093,3
10035,Alto,0.144,1
10021,Bajo,-0.703,1
10006,Medio,-0.113,1
10009,Alto,0.233,4
10017,Bajo,-0.561,1
10037,Alto,0.321,4
10031,Medio,-0.43,1
10033,Medio,-0.218,1
10027,Alto,0.126,4
10019,Alto,0.956,4
10011,Medio,-0.444,1
10002,Alto,0.45,4
10003,Medio,-0.419,1
10010,Bajo,-0.689,1
10025,Medio,-0.103,1
10029,Medio,-0.482,1
10030,Bajo,-0.503,1
11020,Muy bajo,-1.494,3
11017,Muy bajo,-1.276,3
