CVE_MUN,GM,IM,linear Component 1,linear Component 2,rbf Component 1,rbf Component 2,cosine Component 1,cosine Component 2,sigmoid Component 1,sigmoid Component 2
01001,Muy bajo,-1.676,-0.03382130755069724,0.014172692941616272,0.032755470041928934,-0.030399362095776643,-0.027938679489730445,0.009002036186254562,-0.035949413743469855,0.004947037654491107
01005,Muy bajo,-1.256,-0.025335907289234644,0.005887727185193058,0.03521346477867709,-0.0070330958311686865,-0.02828944998501006,0.0009009355737030596,-0.0271630235857333,-0.002565796858538157
01003,Bajo,-0.698,-0.014086936686376094,-0.011277225509512098,0.01679503358043618,0.020161197217150643,-0.02034956161174145,-0.003333217969801006,-0.014582167096992565,-0.012392946545413227
01007,Bajo,-1.045,-0.021090010950842168,0.004568012356759351,0.032308438586328724,0.001619985991802808,-0.027727429565709987,0.00524996727264466,-0.022386876421694884,0.001974703772458235
01006,Muy bajo,-1.129,-0.022793563718824867,0.005435108669789271,0.0340229688212495,-0.006276262775156945,-0.027469049684334928,0.010588848900224034,-0.024117171034019735,0.004616658495542958
01002,Bajo,-0.565,-0.011401157586608958,-0.008034213473603783,0.009538363917056676,0.03371361068656636,-0.015871551458850896,-0.03462477579424196,-0.011743639117236018,-0.02139126505469608
01011,Muy bajo,-1.156,-0.023326466763014003,0.003321046205419527,0.03227661478102622,-0.0003527229791503896,-0.027340277033079913,-0.001235436831235441,-0.024991310819759603,-0.0030432333315006392
01009,Bajo,-0.595,-0.012018172351068264,-0.010934603855420631,0.010263839580644257,0.03206576783758862,-0.016079973894496294,-0.031642681316221694,-0.012449682547895417,-0.02222661129833061
01010,Bajo,-0.614,-0.012391445881921852,0.003226903213764358,0.017589371471976263,0.026441961116264536,-0.024198398355579135,-0.014456642964184136,-0.01237383304160964,-0.0027463614232107053
01004,Bajo,-0.674,-0.013593722461350106,-0.010073269077673886,0.012144995837480558,0.02727372829130966,-0.016826379916786153,-0.026199535547471467,-0.014314766519925796,-0.019704577689814158
01008,Bajo,-0.735,-0.01483049575470978,-0.0016053002285825034,0.014448873588069459,0.023577544792125465,-0.018364247296849056,-0.024548442108354693,-0.015831007182140935,-0.013974541029146272
02004,Muy bajo,-1.708,-0.0344563649842924,0.020670330398685963,0.03117494716529538,-0.0344764350022149,-0.027611316656073796,0.01348813858186609,-0.03635523967721862,0.016335873271153878
02002,Muy bajo,-1.648,-0.033243851819148636,0.018588815006204653,0.033227081414041786,-0.031260905222600874,-0.027987693860485725,0.010935995885929944,-0.03529812472417,0.01260388139795191
02001,Muy bajo,-1.323,-0.026700505581970194,0.016975756107981826,0.034816454712245384,-0.020199075704405878,-0.027441665714320454,0.011296749403263112,-0.02834145766507824,0.014570995049010558
02003,Muy bajo,-1.408,-0.02840662573336035,0.01944625776453876,0.033919644919486014,-0.021638286496474764,-0.027593699445919887,0.00760192245464438,-0.030392106149773203,0.013552568432028608
02005,Muy bajo,-1.463,-0.029516135702353133,0.01842963806874856,0.034161485904812015,-0.025437277391641294,-0.027595829568475647,0.011256792129252617,-0.031421877816229356,0.016913521804926515
03008,Muy bajo,-1.296,-0.026157990851266178,0.028846669044225635,0.025571536612743976,-0.02878159294677435,-0.02364130773933006,0.024480651060218895,-0.02682179321569826,0.04696176967200731
03003,Muy bajo,-1.658,-0.033449560949948595,0.02286444743414775,0.03136731498306813,-0.032086752956385876,-0.02763726156073877,0.010514147358010517,-0.035552208832595626,0.015829392674122665
03001,Bajo,-1.017,-0.020531999126982677,0.012779158667908238,0.032614223751549216,-0.00789982111782142,-0.026533169001272255,0.014103026970268313,-0.021067937162030016,0.010849419789766376
03002,Bajo,-1.051,-0.02120573694330649,0.010081258729571494,0.03182238847853098,-0.0024431747480426016,-0.02686523933478062,0.002196371713315841,-0.022111171181917123,0.0017290150801803265
03009,Muy bajo,-1.345,-0.02713620217536102,0.02777073245127385,0.03203748389313305,-0.026494217358079757,-0.0263636906656904,0.01616114403179271,-0.028553151073074694,0.027696084000708
04002,Muy bajo,-1.281,-0.025849309369753312,0.011605932987859098,0.03443805116847919,-0.020803183917591953,-0.026580089398109966,0.018782252960093573,-0.027170691385224724,0.014202921177546715
