CVE_MUN,GM,IM,linear Component 1,linear Component 2,linear Component 3,rbf Component 1,rbf Component 2,rbf Component 3,cosine Component 1,cosine Component 2,cosine Component 3,sigmoid Component 1,sigmoid Component 2,sigmoid Component 3
04006,Alto,0.361,0.007296532808282378,0.0005435626435609345,0.03636556867907485,-0.016605030790382173,0.008580477576505588,-0.013132510261076168,0.01346873903642091,-0.0034451207576529134,-0.01861059301268894,0.008283687877101318,-0.00021299845180990196,-0.016447025741954925
04005,Medio,-0.291,-0.005873858918297963,0.013395263101826833,0.016895120749324293,0.006457161219244778,0.00538719383266307,-0.03427859835785197,-0.009518150116593113,0.02624051742606551,-0.016171784317154363,-0.0047410657672905185,0.025028449184580432,-0.01892576055175751
04010,Alto,0.706,0.014258200969715565,0.01700355472277693,-0.022781292625141968,-0.01692959251341625,-0.014032248111010866,0.0016885200133576724,0.017150405528165963,0.017182926029599553,0.03837878708206938,0.01333911088365285,0.02790105132563461,0.02614753783343629
04008,Medio,-0.133,-0.0026747726698134514,0.01857264847178412,0.03782651130357573,-0.0021393973540504404,-0.006527897422584896,-0.018009636238467637,-0.0023294231470644775,0.020648715271677876,-0.015973486947984394,-0.0027950545154124973,0.02784839626259473,-0.03205749590698437
04007,Alto,0.164,0.003312627660746777,-0.0002678252370910215,-0.012003746725884556,-0.01245620713458916,0.013275966852720611,-0.008014417222439727,0.00928495231883554,-0.0008535312440064779,0.01815736541536514,0.00453392686670097,0.012066876547685172,0.015860249469177794
05030,Muy bajo,-1.823,-0.036795597150790234,0.02337133446780002,-0.011462127044080181,0.028391978218814427,-0.03633520881808099,0.009620423344211024,-0.027628138147231605,0.01263456831146978,0.010489915053902102,-0.038652894256751315,0.01791308589791787,0.011911357813506652
05035,Muy bajo,-1.722,-0.03474107551498778,0.015050776138200127,-0.009135203751879338,0.03191480089333408,-0.03216961268262643,0.004537843137984702,-0.027878068348126638,0.010325735776937291,0.0026355062227238152,-0.03682363315464327,0.007430277974627787,0.0014088090475990259
05018,Muy bajo,-1.836,-0.03705728741363705,0.022855680207148017,-0.010786020879783493,0.02844085803568627,-0.03662818230529105,0.008697462651038816,-0.027681237838329258,0.012967217885274756,0.008959305789598106,-0.0388918420214441,0.01761265990314034,0.008629345658337981
05025,Muy bajo,-1.531,-0.030909984905062332,0.016203146927531886,-0.009365805607665372,0.033171288848253225,-0.030338389639978154,-0.008220965734893228,-0.027017426144303316,0.01822567087803925,-0.0022951928780031235,-0.03267030547045548,0.019062923353957897,-0.013147700987091747
05002,Muy bajo,-1.353,-0.02730850695925854,0.011573246754574471,-0.008626408022241303,0.03267762165464026,-0.023310819081695737,-0.018784823749110145,-0.026025062973251877,0.019330955708556155,-0.010707303769457123,-0.028921788767053855,0.015225551302540496,-0.020967583735588644
05017,Muy bajo,-1.098,-0.022150500997334767,0.0039587435998604675,0.0008845093570257911,0.03346856456066109,0.000187540026840234,-0.005268404954433661,-0.028133899950112513,0.003781773812017147,-0.006311043896733843,-0.02364119897015638,-0.000287715054260101,-0.011746017439924688
05033,Bajo,-0.823,-0.01660307594088344,-0.0010419062673532983,-0.000522796946609447,0.02443847071332776,0.01274117439742316,-0.018646098164531694,-0.024997199634352103,0.004209510751832496,-0.016762617445670126,-0.017293310265952055,0.00010573513249383599,-0.014951075469119331
05027,Muy bajo,-1.73,-0.034901786272246674,0.02192656598912341,-0.00914647934921309,0.030115735016959664,-0.03359726179908261,0.011024976794475507,-0.02763493866923745,0.01086636721688502,0.011496067480959146,-0.0368931526515096,0.01530553193133223,0.012262466089368249
05010,Muy bajo,-1.663,-0.03355492191761572,0.020667405216524635,-0.009436247238329698,0.030580973962391605,-0.033178372589239224,0.0037143121770061736,-0.027217087546917967,0.015001249602406693,0.006530413628888186,-0.035412215099513526,0.020637306870446,-8.754285927126126e-05
05020,Muy bajo,-1.34,-0.02703468755019934,0.014558917105100011,-0.0075439429540466296,0.03548071535158514,-0.022919922742636017,-0.010632699092992366,-0.02725287023892246,0.01694139929620667,-0.0006059725163231636,-0.02856285211170549,0.014746045911230132,-0.008316494170629612
05028,Muy bajo,-1.678,-0.03385481829956818,0.017588181275296034,-0.008587578484289825,0.03293456461014661,-0.03198479723513161,0.007060650039869627,-0.028013534629848423,0.010697183992759134,0.007219836856791419,-0.03589289037436598,0.010483665685568123,0.005761162633412552
05009,Bajo,-1.021,-0.02060625497786355,0.0010893577492633421,0.002376668893806931,0.0310194395066795,0.00831355133507902,0.001236573531601327,-0.027998558136428993,-0.0031549471070831435,-0.004858986933713835,-0.02203893982305836,-0.00580691190140455,-0.007704982351753566
05024,Bajo,-0.972,-0.019605349945503767,0.009834439479191466,-0.0006499472793408426,0.027957996663060147,-0.002960835787181687,-0.020838971325846247,-0.02467897157993251,0.013617635105399139,-0.007276623780124014,-0.020603838675210345,0.012635987761696773,-0.008512498985040584
05032,Muy bajo,-1.61,-0.032485862471289914,0.01636401775766105,-0.007889839446966133,0.034356820547430604,-0.030279021088634728,0.001843783994279978,-0.028036123964331146,0.011956437603775487,0.0036030490999223643,-0.03456244226642483,0.01085341679516015,0.0003894980043933696
05022,Muy bajo,-1.401,-0.028265924449628523,0.01394124001899957,-0.005932707991038241,0.036428919279268966,-0.021963811097987836,-0.0008890083218527401,-0.028113360359839915,0.011417748833013,0.003802764537799461,-0.030116586120069958,0.010223630079859674,-0.0014367440913952076
05006,Muy bajo,-1.484,-0.029952652623477377,0.019496222020639033,-0.01129516652935257,0.033143080260465765,-0.029322443702925728,-0.0035176026261715403,-0.026988580628073015,0.0176525467602489,0.005810704528814386,-0.031649194370331965,0.0230563749498001,-0.000352484103655612
05031,Muy bajo,-1.76,-0.035524450055826655,0.019082632996701918,-0.00911207231607148,0.031143673599039735,-0.03397663252054413,0.009042795080773056,-0.027983346163932946,0.010497678376837637,0.008280372704621139,-0.03753055781731094,0.011525270053493554,0.00830013345049107
05004,Bajo,-0.849,-0.0171342411824832,-0.0009223957916059225,-0.0007654678311842248,0.026604726525213583,0.015560265524424854,0.004289306370621315,-0.02702289707827034,-0.0053728901748506894,0.00036399953375966987,-0.017706037621836385,-0.005016035657636481,-0.004012584166140129
